source_table,source_column,source_value,standard_dimension,standard_code,mapping_status,observed_count,note
bond,PD_CTRY_CD,KR,region,KR,mapped,42393,
bond,PD_CTRY_CD,XS,region,OTHER,ambiguous,1,"Euroclear/Clearstream 국제 코드, 특정 국가 아님"
domestic_etf,wu_inv_rgn,국내,region,KR,mapped,1036,
domestic_etf,wu_inv_rgn,미국,region,US,mapped,453,
domestic_etf,wu_inv_rgn,글로벌,region,GLOBAL,mapped,76,
domestic_etf,wu_inv_rgn,중국,region,CHINA,mapped,63,
domestic_etf,wu_inv_rgn,아시아,region,ASIA_OTHER,mapped,33,
domestic_etf,wu_inv_rgn,일본,region,JAPAN,mapped,25,
domestic_etf,wu_inv_rgn,인도,region,INDIA,mapped,19,
domestic_etf,wu_inv_rgn,남미/북미,region,AMERICAS_OTHER,mapped,12,
domestic_etf,wu_inv_rgn,유럽,region,EUROPE,mapped,7,
domestic_etf,wu_inv_rgn,베트남,region,VIETNAM,mapped,5,
domestic_etf,wu_inv_rgn,이머징/브릭스,region,EMERGING_BRIC,mapped,5,
fund,fd_ivst_rgn_desc,글로벌,region,GLOBAL,mapped,42875,
fund,fd_ivst_rgn_desc,국내,region,KR,mapped,33223,
fund,fd_ivst_rgn_desc,아시아,region,ASIA_OTHER,mapped,10265,
fund,fd_ivst_rgn_desc,남미/북미,region,AMERICAS_OTHER,mapped,4984,
fund,fd_ivst_rgn_desc,이머징/브릭스,region,EMERGING_BRIC,mapped,2261,
fund,fd_ivst_rgn_desc,유럽,region,EUROPE,mapped,1846,
fund,fd_ivst_rgn_desc,중동/아프리카,region,MIDDLE_EAST_AFRICA,mapped,99,
overseas_etf,wu_inv_rgn,United States of America,region,US,mapped,4196,
overseas_etf,wu_inv_rgn,Global,region,GLOBAL,mapped,718,
overseas_etf,wu_inv_rgn,Global Ex US,region,GLOBAL,ambiguous,303,미국 제외 글로벌. GLOBAL과 다른 의미라 교차 비교 시 주의
overseas_etf,wu_inv_rgn,Global Emerging Markets,region,EMERGING_BRIC,mapped,175,
overseas_etf,wu_inv_rgn,China,region,CHINA,mapped,46,
overseas_etf,wu_inv_rgn,Europe,region,EUROPE,mapped,41,
overseas_etf,wu_inv_rgn,Japan,region,JAPAN,mapped,25,
overseas_etf,wu_inv_rgn,India,region,INDIA,mapped,24,
overseas_etf,wu_inv_rgn,Brazil,region,AMERICAS_OTHER,mapped,9,
overseas_etf,wu_inv_rgn,Asia Pacific ex Japan,region,ASIA_OTHER,mapped,8,
overseas_etf,wu_inv_rgn,Korea,region,KR,mapped,7,
overseas_etf,wu_inv_rgn,Asia Pacific,region,ASIA_OTHER,mapped,7,
overseas_etf,wu_inv_rgn,United Kingdom,region,EUROPE,mapped,5,
overseas_etf,wu_inv_rgn,Israel,region,MIDDLE_EAST_AFRICA,mapped,4,
overseas_etf,wu_inv_rgn,Germany,region,EUROPE,mapped,4,
overseas_etf,wu_inv_rgn,Switzerland,region,EUROPE,mapped,4,
overseas_etf,wu_inv_rgn,Latin America,region,AMERICAS_OTHER,mapped,4,
overseas_etf,wu_inv_rgn,Canada,region,AMERICAS_OTHER,mapped,4,
overseas_etf,wu_inv_rgn,Taiwan,region,ASIA_OTHER,mapped,3,
overseas_etf,wu_inv_rgn,Mexico,region,AMERICAS_OTHER,mapped,3,
overseas_etf,wu_inv_rgn,Australia,region,OTHER,ambiguous,3,"오세아니아, 기존 7개 버킷에 없음"
overseas_etf,wu_inv_rgn,Vietnam,region,VIETNAM,mapped,3,
overseas_etf,wu_inv_rgn,Greater China,region,CHINA,mapped,2,
overseas_etf,wu_inv_rgn,Saudi Arabia,region,MIDDLE_EAST_AFRICA,mapped,2,
overseas_etf,wu_inv_rgn,EuroZone,region,EUROPE,mapped,2,
overseas_etf,wu_inv_rgn,Norway,region,EUROPE,mapped,2,
overseas_etf,wu_inv_rgn,Indonesia,region,ASIA_OTHER,mapped,2,
overseas_etf,wu_inv_rgn,Poland,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,Malaysia,region,ASIA_OTHER,mapped,1,
overseas_etf,wu_inv_rgn,Italy,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,Peru,region,AMERICAS_OTHER,mapped,1,
overseas_etf,wu_inv_rgn,Austria,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,Qatar,region,MIDDLE_EAST_AFRICA,mapped,1,
