cu_base_index,cu_charge_rt,cu_fund_mgmt_co,cu_lev_fector,cu_strtegy,cu_upt_dt,du_bpr,du_clpr,du_er_1d,du_er_1m,du_er_1y,du_er_3m,du_er_6m,du_er_ytd,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_rnf_amt,du_nav_yday,du_upt_dt,du_val_1d,du_val_1m,du_val_5d,du_vol_1d,du_vol_avg_1m,du_vol_avg_5d,nru_mkt_diff_rt,nru_mkt_inav,pd_abrv_nm,pd_circ_net_tamt,pd_circ_stk_cnt,pd_curr_cd,pd_curr_nm,pd_dvid_cycl,pd_exg_mkt_cd,pd_exg_mkt_nm,pd_grp_no,pd_itm_no,pd_itm_no_ma,pd_lst_stk_cnt,pd_lste_dt,pd_lstg_dt,pd_mkt_id,pd_mkt_nm,pd_nav_pshr,pd_net_tamt,pd_nm,pd_pen_risk_nm,pd_pen_tr_yn,pd_risk_cd,pd_risk_nm,pd_sale_yn,pd_sect_cd,pd_sect_nm,pd_spac_yn,pd_stk_cnt,pd_tr_yn,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt,risk_grade,risk_available,instrument_type,expense_ratio_available,region_std,region_mapping_status,asset_class_std,asset_class_mapping_status,as_of_date,source_table,fee_krx_pct,base_index_krx,asset_class_krx,fee_conflict,expense_ratio_filled,expense_ratio_source,base_index_filled,base_index_source
,,미래에셋,1.0,실물복제,20260615.0,13675.0,13615.0,-0.44,1.38,11.14,0.63,1.72,3.54,13650.0,239236725000.0,13670.67,13560.0,-13670.67,13670.67,2026-06-15 00:00:00,1127563999.0,1481358349.1,1168756083.2,82836.0,109219.75,85775.6,,,TIGER 미국채10년선물,239312500000.0,17500000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7305080004,A305080,17500000.0,99991231.0,20180830.0,STK,유가증권,13670.67,239236722747.0,미래에셋 TIGER 미국채10년선물증권상장지수투자신탁(채권-파생형),N,N,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,17500000.0,0.0,,,N,채권,미국,20260615.0,4.0,True,ETF,False,US,mapped,BOND,mapped,2026-07-11,PREF01N001,0.25,S&P 10-Year U.S. Treasury Note Futures(ER),채권,False,0.25,external_krx_20260806,S&P 10-Year U.S. Treasury Note Futures(ER),external_krx_20260806
,,키움증권(주),1.0,C,20260615.0,7990.0,8160.0,2.13,-13.79,-13.56,-29.32,-27.79,-26.65,8230.0,0.0,8145.34,8095.0,176.0,7969.34,2026-06-15 00:00:00,3605210.0,16201691.25,16536908.0,443.0,1998.05,2086.8,,,키움 바이오TOP10 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG760000148,Q760014,700000.0,99991231.0,20241108.0,STK,유가증권,8145.34,5578538000.0,키움증권 키움 바이오TOP10 상장지수증권 제14호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,700000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,미래에셋,1.0,실물복제,20260615.0,7860.0,7865.0,0.06,-2.66,-0.19,-4.09,-12.61,-11.78,7935.0,708124075500.0,7777.31,7795.0,-7777.31,7777.31,2026-06-15 00:00:00,6268212166.0,9504943879.95,5828427296.4,797435.0,1174539.1,741412.4,,,TIGER 차이나항셍테크,715653000000.0,91050000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7371160003,A371160,90400000.0,99991231.0,20201216.0,STK,유가증권,7777.31,701512924330.0,미래에셋 TIGER 차이나항셍테크증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,90750000.0,0.0,,,N,주식,중국,20260615.0,1.0,True,ETF,False,CHINA,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.09,Hang Seng TECH Index,주식,False,0.09,external_krx_20260806,Hang Seng TECH Index,external_krx_20260806
,,NH-Amundi,1.0,실물복제,20260615.0,20950.0,21105.0,0.74,1.44,38.3,13.38,12.74,13.99,21190.0,16744960000.0,20931.2,20960.0,-20931.2,20931.2,2026-06-15 00:00:00,198043874.0,160335035.55,182147473.8,9408.0,7601.3,8717.2,,,HANARO 미국S&P500,16760000000.0,800000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7432840007,A432840,800000.0,99991231.0,20220608.0,STK,유가증권,20931.2,16744962286.0,NH-Amundi HANARO 미국S&P500증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,800000.0,0.0,,,Y,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.045,S&P 500,주식,False,0.045,external_krx_20260806,S&P 500,external_krx_20260806
,,삼성,1.0,실물복제,20260615.0,96455.0,101575.0,5.31,16.29,327.95,71.83,153.24,135.89,102590.0,1870904184000.0,96438.36,100195.0,-96438.36,96438.36,2026-06-15 00:00:00,101589995922.0,24450986246.75,32525435043.2,1004021.0,253578.4,328053.0,,,KODEX Top5PlusTR,0.0,19400000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7315930008,A315930,19400000.0,99991231.0,20190122.0,STK,유가증권,96438.36,1870904233621.0,삼성 KODEX Top5Plus Total Return증권상장지수투자신탁[주식형],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,19400000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.15,FnGuide TOP 5 Plus Total Return 지수,주식,False,0.15,external_krx_20260806,FnGuide TOP 5 Plus Total Return 지수,external_krx_20260806
,,KB증권(주),2.0,C,20260615.0,7455.0,7155.0,-4.02,-21.5,-1.38,-11.23,13.39,22.1,7460.0,0.0,7114.34,7050.0,-245.21,7359.55,2026-06-15 00:00:00,13669545.0,101121801.65,44366748.8,1914.0,11745.95,6006.6,,,KB 레버리지 밀 선물 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG580000518,Q580051,1500000.0,99991231.0,20230707.0,STK,유가증권,7114.34,11039325000.0,KB증권 KB 레버리지 밀 선물 상장지수증권 제51호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1500000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,한국투자,2.0,합성복제,20260615.0,44730.0,45575.0,1.89,-9.21,95.39,24.34,11.09,14.08,46050.0,143865856000.0,44958.08,44735.0,-44958.08,44958.08,2026-06-15 00:00:00,2585449097.0,1641952931.7,1659604635.4,57165.0,33427.0,36682.6,,,ACE 미국빅테크TOP7 Plus레버리지(합성),0.0,3200000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7465610004,A465610,3200000.0,99991231.0,20230912.0,STK,유가증권,44958.08,143865855417.0,한국투자 ACE 미국빅테크TOP7 Plus레버리지증권상장지수투자신탁(주식-파생형)(합성),N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,3200000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.6,Solactive US Big Tech Top 7 Plus Price Return Index,주식,False,0.6,external_krx_20260806,Solactive US Big Tech Top 7 Plus Price Return Index,external_krx_20260806
,,KB,1.0,실물복제,20260615.0,16550.0,16810.0,1.57,0.78,38.98,10.41,23.97,20.76,17025.0,36630110000.0,16650.05,16735.0,-16650.05,16650.05,2026-06-15 00:00:00,416809199.0,432611989.1,393826843.6,24737.0,25727.65,23706.6,,,RISE V&S셀렉트밸류채권혼합,36410000000.0,2200000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7241390004,A241390,2200000.0,99991231.0,20160412.0,STK,유가증권,16650.05,36630119997.0,KB RISE V&S셀렉트밸류채권혼합증권상장지수투자신탁(채권혼합),안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,2200000.0,0.0,,,N,혼합자산,국내,20260615.0,4.0,True,ETF,False,KR,mapped,MIXED,mapped,2026-07-11,PREF01N001,0.23,FnGuide 셀렉트벨류 채권혼합지수,혼합자산,False,0.23,external_krx_20260806,FnGuide 셀렉트벨류 채권혼합지수,external_krx_20260806
,,한국투자증권(주),-2.0,C,20260615.0,15015.0,14990.0,-0.17,2.36,30.63,2.04,8.51,7.19,14990.0,0.0,14999.06,14985.0,18.99,14980.07,2026-06-15 00:00:00,29975.0,9128878.0,24027.0,2.0,608.4,1.6,,,한투 인버스2X엔달러 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG570000999,Q570099,1000000.0,99991231.0,20230810.0,STK,유가증권,14999.06,14980070000.0,한국투자증권 한투 인버스2X엔달러선물 상장지수증권(H) 제99호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,통화,국내,20260615.0,1.0,True,ETN,False,KR,mapped,CURRENCY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,0.49,삼성,1.0,실물복제,20260615.0,25955.0,26165.0,0.81,10.03,91.06,36.67,76.08,76.37,26755.0,18140234000.0,25914.62,26165.0,-25914.62,25914.62,2026-06-15 00:00:00,33512824.0,50426827.1,38272039.8,1268.0,2063.0,1567.8,,,KODEX 모멘텀Plus,0.0,700000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7244620001,A244620,700000.0,99991231.0,20160513.0,STK,유가증권,25914.62,18140232543.0,삼성 KODEX 모멘텀PLUS증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,700000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.3,FnGuide 모멘텀 Plus 지수,주식,True,0.49,provided,FnGuide 모멘텀 Plus 지수,external_krx_20260806
