itm_no,prfd_attr_cd
KR5114420158,F103
KR5138490078,V102
KR5174430032,M111
KR5152651012,C103
KR5114450497,C103
KR5157480031,M111
KR5175450024,V101
KR511L430023,D102
KR5131450101,V102
KR5138450013,N121
KR5153470243,V102
KR5147450060,F101
KR5110450132,M109
KR5118430030,M111
KR5127490279,C101
KR5116490005,C102
KR5114490164,C101
KR5114450221,G110
KR5114490235,V102
KR5114490078,M112
KR5152450003,M109
KR5114470042,S104
KR5181450030,D102
KR5142490145,M111
KR5114430035,C101
KR5134530041,M109
KR5117474006,V102
KR5160450010,V101
KR5364791002,C104
KR5181490086,W101
KR5114601175,C103
KR5113420066,V101
KR5153450773,V101
KR5133430035,C101
KR5118490010,M112
KR5113601004,D102
KR510902620M,C101
KR511L470002,D102
KR518102087M,C101
KR5151450060,C101
KR5144490042,N177
KR5027410027,V102
KR5142450033,M111
KR5124471002,S104
KR5129460010,V102
KR5144490055,D106
KR5120450080,V102
KR5148651021,V102
KR5153420279,C103
KR5153490118,C101
KR511502040M,M109
KR5134400011,M111
KR5127490211,C103
KR5147490043,T230
KR510902986M,F103
KR5148490016,M112
KR5529400016,Q111
KR5153430220,V103
KR510902489M,D102
KR5153430278,C103
KR5152450036,M109
KR5118490030,D102
KR5134490010,R107
KR5117651023,D102
KR5132430030,C102
KR5148450024,C103
KR5153450784,C103
KR5175450021,C103
KR5153651029,D106
KR5114450525,F103
KR5157440011,C103
KR5114450617,M109
KR5127490371,N177
KR5113490126,C103
KR5127651006,C101
KR5194450032,V102
KR5153400017,D102
KR5153490023,C101
KR5114490123,D102
KR5137450071,M111
KR5142450023,M109
KR5116651004,D102
KR5171560040,C104
KR5153450581,M109
KR5131440021,C102
KR5127490245,W101
KR5153430075,S108
KR5114470053,S104
KR5119450092,M111
KR5138430017,D106
KR510902592M,M109
KR514909002M,M111
KR511031114M,C103
KR5153451183,V102
KR5116430022,C103
KR5120420074,C103
KR510902085M,O132
KR5110651012,C103
KR5182490012,C103
KR5051410001,E102
KR5114450471,V102
KR516702026M,D106
KR5171490001,M111
KR5127450072,M111
KR5113440032,C101
KR5153470067,C103
KR5153490140,W101
KR513506193M,CHN
KR5134450026,C103
KR510902976M,VNM
KR5187450091,F103
KR513806005M,S120
KR5187430018,N178
KR5113450210,C103
KR5153450025,M109
KR5131450050,D102
KR510901119M,D106
KR511X490002,G110
KR5131440022,M101
KR5113490088,N177
KR511509015M,V102
KR5122480009,D102
KR510902104M,W106
KR5114450416,C101
KR5123490102,F103
KR5153430061,P101
KR510901081M,C103
KR510902073M,V103
KR5153490428,V101
KR5172450091,P103
KR5114470019,C103
KR5114430129,M111
KR5156490023,G118
KR5114450359,JPN
KR5153470245,W101
KR5127450202,C101
KR5117474000,M111
KR5113490047,C103
KR5113490071,C103
KR5157450079,P103
KR5157450102,P104
KR5151450022,C101
KR5153480041,V102
KR5153450641,D102
KR5119450059,C101
KR5147430056,C102
KR5060430011,N122
KR5113490129,N177
KR5114420046,D106
KR510901059M,M111
KR510903032M,V103
KR5114450269,C101
KR5144430014,N135
KR5153490427,M112
KR5060430011,V102
KR5120470011,S104
KR5153490426,D102
KR5127450060,D102
KR5153450381,USA
KR5147490003,M109
KR5148490035,M109
KR5127470087,V102
KR5127440031,C102
KR5125601018,D102
KR5153430119,V101
KR5144430011,D102
KR510902218M,C101
KR5123450066,M109
KR5144470204,W101
KR513502054M,O101
KR5123490126,C101
KR5127440027,M111
KR510509007M,M112
KR5176450021,M111
KR5151450045,D102
KR5174450003,M109
KR5153430084,P101
KR5148450087,M111
KR5120420021,D102
KR5147450038,V101
KR5127430012,D106
KR5153490446,T235
KR5153490040,W104
KR5153430251,C103
KR510909108M,V101
KR5153450373,C101
KR5153440044,S108
KR5127530011,D102
KR5125490028,D106
KR5153450450,C101
KR5117490016,W101
KR510902078M,D102
KR5127450351,G110
KR5113470020,R110
KR5110450137,D102
KR518104066M,M109
KR5134490020,M111
KR5129450020,D102
KR5153451011,D102
KR5113450096,D102
KR5013410011,D102
KR5153450067,D106
KR5153451150,C103
KR5153400038,W101
KR5153451124,M109
KR5113490237,C101
KR5157450076,V101
KR5142490120,C101
KR5153450830,D102
KR510902575M,IND
KR510902412M,M111
KR5113450210,F103
KR5131450008,G110
KR5153400037,N177
KR5119251002,C103
KR5182490017,G115
KR5114450128,M109
KR5147450033,V101
KR5139430091,G115
KR5110490053,D102
KR5153490566,C101
KR5118450075,P102
KR5044101006,C103
KR510902708M,V102
KR5137470010,D102
KR5147430012,D102
KR5148651029,M109
KR511502037M,M109
KR5153420076,D102
KR5114450403,C101
KR5014410031,C101
KR518105036M,USA
KR5172490020,M111
KR5153400002,M109
KR5118450076,C101
KR510903120M,S108
KR5127490391,D106
KR5114490089,N177
KR5019101508,E102
KR510902315M,W102
KR5147430031,D106
KR5137450043,C101
KR5153450640,IND
KR5144450073,M111
KR5114601001,M113
KR5153450850,M111
KR511012401M,D102
KR513509042M,V102
KR5153400052,M109
KR5114450643,M111
KR511131106M,C101
KR5557450037,P103
KR5172450032,P103
KR5114490378,N177
KR5151450065,F101
KR5117490190,W101
KR5127450070,N135
KR510909233M,G110
KR5049101026,C101
KR5153490105,W101
KR5120450081,G115
KR518104093M,C101
KR5153451153,C101
KR5114450556,N142
KR5137470111,C103
KR510903058M,M101
KR5131440027,D102
KR5114601173,V102
KR5114490282,D102
KR5147430020,R105
KR5153450338,C101
KR5153420330,D102
KR5113430070,D106
KR5148000006,N109
KR5039410039,M111
KR5127450471,M109
KR513509012M,C101
KR5131420006,V101
KR5114490378,C103
KR512806019M,M111
KR5153520010,G115
KR5114470040,D102
KR5127490197,D102
KR5144470106,W101
KR5142490023,JPN
KR5114450308,C101
KR5152601004,M105
KR5113490100,M111
KR5117420040,M111
KR5131450164,G110
KR5160420001,C101
KR5144490044,C103
KR5138490116,N135
KR5129430003,C103
KR5153400046,F103
KR513702002M,M111
KR517602040M,O131
KR5153450307,M111
KR5113430100,D102
KR5170450031,W142
KR515303001M,C102
KR5153450510,M111
KR5153490543,M112
KR5114490254,M106
KR5144450073,D102
KR5159490068,C103
KR510909197M,C103
KR5153400060,V103
KR5119450095,M109
KR5149490058,T245
KR5148490030,M111
KR5153450059,D106
KR5116502002,G115
KR5127490411,C103
KR5134420010,C101
KR513003003M,M109
KR5127420045,M109
KR510903089M,D106
KR5170450030,D102
KR5153450420,C103
KR5113490090,T250
KR5111450059,N143
KR5062410011,D102
KR5113458001,M111
KR510902408M,M109
KR5119450058,V101
KR5113490020,M111
KR5147450050,D102
KR5114490076,T225
KR5153450866,V101
KR5127490331,F103
KR514X450008,C101
KR5117651020,C101
KR517509045M,V102
KR5010101405,C101
KR5149450025,W101
KR5153651000,C103
KR5123450118,V103
KR5152450043,CHN
KR5152430010,C101
KR510604009M,R105
KR5153450009,G115
KR518105015M,M109
KR5153490570,D106
KR511703012M,M109
KR5120920055,C103
KR510904162M,D102
KR5153450784,N143
KR5153450106,D105
KR5114430066,F103
KR5148651025,V102
KR510902127M,M111
KR5148651026,G118
KR5181450010,W101
KR5147430057,V101
KR518104029M,C101
KR510902181M,M111
KR5131450104,W122
KR5011101401,V101
KR5147490005,C101
KR5156450056,M112
KR5182490075,D102
KR5127471000,D102
KR5557450003,C103
KR510909037M,D102
KR5151450085,D102
KR510904159M,M109
KR5153490028,M109
KR5127450077,M109
KR5114450503,W104
KR5017410001,M111
KR5138590020,P101
KR5153480051,D102
KR5111490003,M112
KR5110490077,G115
KR5127450121,D102
KR5153490653,F103
KR510904080M,M109
KR5114450083,C103
KR5053410036,D106
KR5133420015,C103
KR5114490106,V102
KR5553450001,C101
KR5180450024,P104
KR5185450009,C101
KR5144450070,M102
KR5144430016,C101
KR5144470200,V102
KR510902559M,O120
KR510902964M,D102
KR5117490020,D102
KR5114420061,C103
KR5129450143,M109
KR5110651009,N115
KR5113490059,F103
KR5144470097,M111
KR510902662M,C101
KR510902044M,V103
KR5153490097,W101
KR5153420207,C103
KR518104036M,M109
KR5116450065,M109
KR5113490196,N177
KR5127490259,W101
KR5157450085,S107
KR510903075M,C102
KR5148490002,M112
KR5153550020,D102
KR5127420061,G110
KR518103007M,W105
KR5145450026,C101
KR5114420061,M111
KR5117651022,P101
KR5114490146,F103
KR5138490091,C101
KR510909236M,M111
KR5174430033,C101
KR5123490072,M111
KR5144470102,C103
KR5175450010,C101
KR5131450177,D106
KR5153400038,M109
KR5157530011,M109
KR5114430149,D106
KR5144420036,V103
KR518102022M,M111
KR518105043M,C101
KR518104121M,C101
KR5117420096,F103
KR510902199M,W101
KR510904056M,C101
KR5113450103,M109
KR5164530010,R106
KR5114420033,W101
KR5147450090,W122
KR5153451180,M111
KR5113456002,W101
KR5144492103,D106
KR5129490057,D102
KR512009010M,V102
KR5153420001,C103
KR5117651004,D105
KR511802007M,M109
KR5114490470,T260
KR510902607M,C101
KR5127490204,N143
KR5110450111,P104
KR5153450791,C103
KR5187430002,C103
KR5133601060,V101
KR5148450150,C101
KR5114490427,V103
KR5133601008,D105
KR5134490021,C101
KR5123490063,M111
KR513509077M,W101
KR5144492042,W101
KR5127490126,M112
KR5127490228,D106
KR5147430070,N142
KR5114450163,D102
KR5134490069,D106
KR5153430085,C101
KR5148490160,V103
KR5122421001,F103
KR5149490068,M106
KR5153480051,M109
KR5110420013,C103
KR511102078M,P104
KR515009105M,F103
KR5174430034,F103
KR5153470090,D102
KR5181450027,M112
KR5127470100,C101
KR5142530010,G115
KR5153450064,V102
KR5127490383,V103
KR5118201009,M109
KR510903034M,M109
KR5153430080,D102
KR5110490074,M109
KR5127490289,C103
KR5117474001,C101
KR5157450136,P103
KR5113490003,N177
KR5110550089,G118
KR5153450175,M111
KR5153450148,W116
KR5123490016,C101
KR5117490211,R107
KR5119450081,V102
KR5172490026,D106
KR5113450401,V101
KR5153490738,C103
KR5133450034,CHN
KR5138490049,W101
KR5116430041,C103
KR513309005M,W101
KR517609059M,M112
KR510909239M,M109
KR518105029M,V102
KR518105043M,M109
KR512009031M,D102
KR5145450021,V101
KR5123450047,M109
KR5117420090,V101
KR510902048M,C103
KR518101017M,V101
KR5147430077,M111
KR5153450841,C103
KR510902662M,G118
KR5153490444,F103
KR5114450253,C101
KR510903100M,M109
KR5153480043,M109
KR5117430003,C103
KR5114800001,W111
KR517609078M,C103
KR5113450184,D102
KR5127400019,W101
KR5182490072,CHN
KR5049101011,E102
KR5127651007,G118
KR5153450540,M109
KR5123651007,M111
KR5127490357,V103
KR5153450824,C101
KR510909231M,M109
KR5153450570,P101
KR5529400017,D102
KR5120491000,N177
KR5153450075,D106
KR5182490123,V102
KR5114450196,M111
KR5153530042,C103
KR5129450072,M111
KR5117490122,M106
KR5114470045,D102
KR5153450108,M111
KR5119151003,N108
KR5153450577,D106
KR510509009M,M111
KR5152430060,C102
KR5114450250,W104
KR5127651001,M109
KR5148450033,O120
KR5153450741,G119
KR5110450085,M105
KR5514490029,D102
KR5122920009,M109
KR5127490073,M111
KR5114601049,D102
KR5153450531,C101
KR5181490070,N125
KR5153400064,D102
KR5137450011,M109
KR5127450041,C101
KR513506018M,C104
KR5114450330,C103
KR510902622M,G118
KR5144490014,N177
KR5553450003,C101
KR5152430106,V103
KR5131450066,CHN
KR510902335M,M111
KR5114490169,C103
KR5114450146,D102
KR5153450267,V101
KR511141118M,M110
KR5153420065,C101
KR510904159M,M110
KR5120420051,M109
KR5137450079,W112
KR511102094M,G118
KR5144490109,G115
KR518102001M,M111
KR5111450053,C101
KR5131530041,C101
KR5111450066,C101
KR5134450061,V101
KR5182490110,W101
KR5129450177,C101
KR5153450942,D102
KR5153480006,V103
KR5153450079,C101
KR5175470010,M111
KR5117420059,C102
KR5075410020,C103
KR5172450090,G118
KR5142420013,M111
KR510904126M,C103
KR512709003M,M111
KR5153490462,V102
KR510902520M,W137
KR5114450425,VNM
KR5159490018,D102
KR5117490200,W101
KR5117490011,M111
KR5114450040,CHN
KR5153470112,M111
KR5136450021,C103
KR5123490028,C101
KR510502010M,D102
KR5117490128,G115
KR5114440065,D106
KR5127490064,M112
KR5153490526,M111
KR5027410026,C101
KR5142490091,M112
KR5153440022,C101
KR5113470040,D102
KR5135450017,V101
KR5153450482,C103
KR518105048M,D102
KR5129450006,D106
KR5151450020,D102
KR510902313M,C103
KR5153490705,N176
KR5144492022,V102
KR5010151112,C103
KR5143490011,C101
KR5114490191,M109
KR518104088M,M111
KR5049101021,C103
KR5152502018,G115
KR516702010M,C101
KR5153400069,C103
KR5131450080,F101
KR517509068M,G118
KR5116490007,V103
KR5127450193,C103
KR5175470011,C101
KR5051101002,V101
KR512102032M,V102
KR510902314M,V103
KR510902163M,C101
KR513509068M,N125
KR5122420013,D106
KR5529400011,C103
KR5181490115,V102
KR517309018M,M111
KR510902808M,V101
KR513403007M,G110
KR5157420009,C101
KR5153450026,W107
KR5153651015,C101
KR510902640M,M111
KR513502183M,M111
KR5144470208,C101
KR5170450061,C101
KR5153450309,V102
KR513509019M,M112
KR5125430024,D102
KR5187430002,W101
KR5553450004,C101
KR518104002M,D102
KR5153450464,C101
KR5117430009,V101
KR5116450044,D102
KR5153430051,C101
KR5153430083,M111
KR515009118M,C103
KR5152430011,C103
KR5117490054,C101
KR5142420018,D102
KR5129490077,W101
KR5118450080,C103
KR5123490058,D106
KR510902534M,MYS
KR511409014M,M111
KR5113450094,N135
KR5127490126,M111
KR5129450183,M109
KR5170420017,R107
KR5010201143,D102
KR5113450034,C101
KR510909232M,M120
KR5117651013,V102
KR515009068M,D106
KR5153490023,D102
KR5153490564,C103
KR5153490416,M111
KR510902229M,D102
KR5182490048,W101
KR510902592M,G118
KR5127490381,T260
KR5117490034,M106
KR5133550048,V102
KR5116430029,G115
KR517302033M,W105
KR5114490067,F103
KR5149490078,M109
