bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm,risk_grade,risk_available,as_of_date,source_table
채권종합 3M~1Y,종합채권 3개월~1년,KRW,,000,국내,,,,,77291400582.0000,20,,,,,,0,0010173C9824,0,배당,삼성1.5년매칭형증권투자제1호[채권]C-P,,삼성1.5년매칭형증권투자신탁제1호[채권]_C-P,삼성1.5년매칭형증권투자신탁제1호[채권]_C-P,KR5114420158,11111A327360131ZZZZ5,KRZ502532813,01MN900,0,채권형,00040010,국내,개인,00,해당없음,공모,0302001MN900,판매완료,K55105DY4714,Y,00020054,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 75% + KIS Bond Index 01Y 25%,MSCI ACWI CR 75% + KIS채권종합01Y 25%,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,알리안츠멀티파재F,,알리안츠다이나믹멀티에셋증권투자신탁[주식혼합_파생재간접형] Class C(F),알리안츠다이나믹멀티에셋증권투자신탁[주식혼합_파생재간접형] Class C(F),KR5138490078,00000000000000000000,KRZ502024037,0060901,0,재간접,00040023,해외,해당없음,00,해당없음,공모,032110060901,판매완료,K55228B78547,,00020054,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,47.08,1.18,16.29,25.97,71147860091.0000,10,2.55,38.17,43.25,60.31,49.37,0,0011644C0164,0,배당,한국밸류10년투자배당투자(채권혼합)AE,,한국밸류10년투자 배당증권투자신탁(채권혼합)종류A-E,한국밸류10년투자 배당증권투자신탁(채권혼합)종류A-E,KR5174430032,141112120010122ZZZZ5,KRZ501944872,0010200,0,채권혼합,00080021,국내,해당없음,00,해당없음,공모,033910010200,판매중,KR5236AY2947,Y,00020088,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,KTB글로벌테마주식C,,2014.6.30 소규모펀드 임의해지,KTB글로벌테마셀렉션증권투자신탁[주식-재간접형]_C,KR5152651012,00000000000000000000,KRZ500366082,0019004,0,재간접,00080013,해외,해당없음,00,해당없음,공모,032400019004,판매완료,KR5306702543,Y,00020004,,,,False,2026-07-11,PRFD01N001
S&P 500(KRW) 95% + CALL 5%,S&P 500(KRW) 95% + CALL 5%,KRW,N,000,글로벌,28.54,1.16,12.78,11.72,600482482202.0000,10,-0.82,33.73,48.23,95.24,127.97,0,0010173C7109,0,배당,삼성미국S&P500인덱스증권자UH[주식]_Cpe(퇴직연금),,삼성미국S&P500인덱스증권자투자신탁UH[주식] Cpe(퇴직),삼성미국S&P500인덱스증권자투자신탁UH[주식] Cpe(퇴직),KR5114450497,12123612060107101202,KRZ50203521G,01MA700,0,주식형,00040010,해외,해당없음,00,해당없음,공모,0302001MA700,판매중,K55105BU1120,Y,00020004,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,,1.86,,,199588906898.0000,10,2.04,,,,,0,0010214C2103,0,배당,마이다스기본적격TDF2060혼합자산자CPe1,,마이다스기본적격TDF2060혼합자산자투자신탁 C-PE1,마이다스기본적격TDF2060혼합자산자투자신탁 C-Pe1,KR5157480031,1913361203602ZZZZZZ3,KRZ502639586,0054781,0,혼합자산,00080005,국내외혼합,개인,00,해당없음,공모,031740054781,판매중,K55303EN5168,Y,00020081,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,,,,7230493681.0000,10,,,,,,0,0011988C0208,0,배당,iM에셋ALLNEW장수기업증권자1호(주식)C4,,im에셋 ALL NEW 장수기업 증권자투자신탁1호(주식)C4,iM에셋 ALL NEW 장수기업 증권자투자신탁1호(주식)C4,KR5175450024,12113412001011111113,KRZ500524398,0A3101M,0,주식형,00080035,국내,해당없음,00,해당없음,공모,033750A3101M,판매중,KR5368959387,Y,00050004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 5% + KAP Corp. Bond(BBB) 02Y 95%,KOSPI200 5% +  회사채I-BBB종합 02Y  95%,KRW,,410,국내,,,,,89126870685.0000,10,0.13,,,,,0,0011998C0165,0,배당,웰컴공모주하이일드증투신3[채혼]CP2E,,웰컴공모주하이일드증권투자신탁제3호[채권혼합]C-P2E,웰컴공모주하이일드증권투자신탁제3호[채권혼합]C-P2E,KR511L430023,14111A123600126ZZZZ6,KRZ50248409B,0001480,0,채권혼합,00080208,국내,해당없음,00,해당없음,공모,034020001480,판매중,K55244DN5740,Y,00020088,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,N,000,글로벌,2.54,-13.60,-16.82,-23.75,7860070696.0000,10,-2.64,-22.85,0.15,-5.11,-48.61,0,0010192C7182,0,배당,DB차이나바이오헬스케어자투자UH[주식]C,,DB차이나바이오헬스케어증권자투자신탁(UH)[주식] 종류 C,DB차이나바이오헬스케어증권자투자신탁(UH)[주식] 종류 C,KR5131450101,12123412001171111ZZ1,KRZ502333504,0062721,0,주식형,00040006,해외,해당없음,00,해당없음,공모,030190062721,판매중,K55216CJ4140,Y,00020081,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,244.51,5.23,55.81,109.25,74281499657.0000,10,8.34,196.29,207.29,225.63,162.68,0,0010203C0471,0,배당,우리나라기업가치향상증권자(주식)C3,,우리나라기업가치향상증권자투자신탁[주식] Class C3,우리나라기업가치향상증권자투자신탁[주식]ClassC3,KR5138450013,12111412301011211111,KRZ500263589,000Q397,0,주식형,00040007,국내,해당없음,00,해당없음,공모,03101000Q392,판매중,KR5228958504,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
