item_id,product_type,name,asset_class_std,region_std,risk_grade,risk_available,expense_ratio,expense_ratio_available,expense_ratio_source,aum,aum_available,return_1y,return_1y_available,as_of_date,source_table,source_row_key
KR101501DA16,BOND,국민주택1종채권 20-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DA16
KR101501DA24,BOND,국민주택1종채권 20-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DA24
KR101501DA32,BOND,국민주택1종채권 20-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DA32
KR101501DA40,BOND,국민주택1종채권 20-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DA40
KR101501DA57,BOND,국민주택1종채권 20-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DA57
KR101501DA65,BOND,국민주택1종채권 20-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DA65
KR101501DA73,BOND,국민주택1종채권 20-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DA73
KR101501DA81,BOND,국민주택1종채권 20-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DA81
KR101501DA99,BOND,국민주택1종채권 20-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DA99
KR101501DAA7,BOND,국민주택1종채권 20-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DAA7
KR101501DAB5,BOND,국민주택1종채권 20-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DAB5
KR101501DAC3,BOND,국민주택1종채권 20-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DAC3
KR101501DB15,BOND,국민주택1종채권 21-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DB15
KR101501DB23,BOND,국민주택1종채권 21-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DB23
KR101501DB31,BOND,국민주택1종채권 21-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DB31
KR101501DB49,BOND,국민주택1종채권 21-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DB49
KR101501DB56,BOND,국민주택1종채권 21-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DB56
KR101501DB64,BOND,국민주택1종채권 21-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DB64
KR101501DB72,BOND,국민주택1종채권 21-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DB72
