분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
별칭사전|국내ETF브랜드,KODEX,삼성자산운용 KODEX,삼성자산운용의 ETF 브랜드로 국내 ETF 시장 점유율 1위. 국내ETF 데이터에서 상품명이 'KODEX '로 시작하는 240건이 해당된다.,코덱스;삼성 ETF;kodex,운용사브랜드,high,검증통과,https://www.samsungfund.com/etf/main.do
별칭사전|국내ETF브랜드,TIGER,미래에셋자산운용 TIGER,미래에셋자산운용의 ETF 브랜드(주최사 미래에셋증권의 계열 운용사). '타이거 미국S&P500' 같은 질의는 상품명 'TIGER 미국S&P500'으로 매핑한다.,타이거;미래에셋 ETF;tiger etf,운용사브랜드,high,검증통과,https://www.tigeretf.com
별칭사전|국내ETF브랜드,RISE,KB자산운용 RISE,KB자산운용의 ETF 브랜드. 2024-07-17 기존 'KBSTAR'에서 'RISE'로 전 종목(109개) 일괄 리브랜딩했다.,라이즈;KBSTAR;KB스타;케이비스타;KB자산운용 ETF,운용사브랜드,high,검증통과,https://www.fnnews.com/ampNews/202407171012310630
별칭사전|국내ETF브랜드,KBSTAR,RISE(KB자산운용)의 구 브랜드,KB자산운용이 2016년부터 2024년 7월까지 사용한 ETF 구 브랜드. 'KBSTAR ○○' 질의는 현재 상품명 'RISE ○○'로 매핑해야 한다.,케이비스타;KB스타;kbstar,운용사브랜드,high,검증통과,https://www.hankyung.com/article/2024062878186
별칭사전|국내ETF브랜드,ACE,한국투자신탁운용 ACE,한국투자신탁운용의 ETF 브랜드. 2022-10-13 기존 'KINDEX'에서 'ACE'로 일괄 변경했다.,에이스;KINDEX;킨덱스;한투운용 ETF;한국투자신탁운용 ETF,운용사브랜드,high,검증통과,https://www.hankyung.com/article/2022101342506
별칭사전|국내ETF브랜드,KINDEX,ACE(한국투자신탁운용)의 구 브랜드,한국투자신탁운용이 2022년 10월까지 사용한 ETF 구 브랜드. 'KINDEX S&P500' 질의는 'ACE S&P500' 등 현재 상품명으로 매핑한다.,킨덱스;kindex,운용사브랜드,high,검증통과,https://www.asiae.co.kr/article/2022101310422237206
별칭사전|국내ETF브랜드,PLUS,한화자산운용 PLUS,한화자산운용의 ETF 브랜드. 2024-07-23 기존 'ARIRANG'에서 15년 만에 'PLUS'로 리브랜딩했다.,플러스;ARIRANG;아리랑;한화 ETF,운용사브랜드,high,검증통과,https://www.hankyung.com/article/2024072325246
별칭사전|국내ETF브랜드,ARIRANG,PLUS(한화자산운용)의 구 브랜드,한화자산운용이 2024년 7월까지 사용한 ETF 구 브랜드. 'ARIRANG 고배당주' 질의는 'PLUS 고배당주' 등 현재 상품명으로 매핑한다.,아리랑;arirang,운용사브랜드,high,검증통과,https://www.sisajournal-e.com/news/articleView.html?idxno=404456
별칭사전|국내ETF브랜드,SOL,신한자산운용 SOL,"신한자산운용의 ETF 브랜드. 2021년 8월(8/26 공시, 8/27 발표) 기존 'SMART'에서 '쏠(SOL)'로 리브랜딩했다(신한 모바일뱅킹 앱과 동일 브랜드). 리브랜딩 후 점유율이 약 1%에서 3%대로 상승.",쏠;솔;SMART;신한 ETF;신한자산운용 ETF,운용사브랜드,medium,정정반영,http://www.thebell.co.kr/free/content/ArticleView.asp?key=202108271039254080102359&lcode=00 | 검증정정: http://www.thebell.co.kr/free/content/ArticleView.asp?key=202108271039254080102359&lcode=00 ; https://kind.krx.co.kr/external/2021/08/26/000421/20210826001028/68959.htm
별칭사전|국내ETF브랜드,KIWOOM,키움투자자산운용 KIWOOM,"키움투자자산운용의 ETF 브랜드. 2025-01-14 패시브 브랜드 'KOSEF'와 액티브 브랜드 '히어로즈(Heroes)'를 'KIWOOM'으로 통합 리브랜딩했다. 데이터의 KIWOOM(77건)은 ETF, '키움'(26건)은 키움증권 ETN이므로 구분 필요.",키움 ETF;KOSEF;코세프;히어로즈;Heroes,운용사브랜드,high,검증통과,https://www.dailian.co.kr/news/view/1451270
별칭사전|국내ETF브랜드,KOSEF,KIWOOM(키움투자자산운용)의 구 브랜드,2002년 국내 최초 ETF 'KOSEF 200'부터 사용된 키움투자자산운용의 구 패시브 ETF 브랜드로 2025년 1월 'KIWOOM'으로 변경됐다. 'KOSEF 국고채' 질의는 'KIWOOM 국고채' 등으로 매핑한다.,코세프;kosef,운용사브랜드,high,검증통과,https://www.fntoday.co.kr/news/articleView.html?idxno=343373
별칭사전|국내ETF브랜드,히어로즈,KIWOOM(키움투자자산운용)의 구 액티브 브랜드,키움투자자산운용의 구 액티브 ETF 브랜드 'Heroes'로 2025년 1월 'KIWOOM'으로 통합됐다.,Heroes;히어로즈 ETF,운용사브랜드,high,검증통과,https://www.fntoday.co.kr/news/articleView.html?idxno=343373
별칭사전|국내ETF브랜드,HANARO,NH-Amundi자산운용 HANARO,NH-Amundi(엔에이치아문디)자산운용의 ETF 브랜드(2018년 출시). 농협금융 계열 운용사이다.,하나로;NH아문디 ETF;엔에이치아문디,운용사브랜드,high,검증통과,https://www.hanaroetf.com
별칭사전|국내ETF브랜드,KoAct,삼성액티브자산운용 KoAct,삼성액티브자산운용(삼성자산운용의 액티브 전문 자회사)의 액티브 ETF 브랜드로 2023년 8월 첫 상장. KODEX(삼성자산운용)와 운용 주체가 다르므로 구분해야 한다.,코액트;삼성액티브 ETF,운용사브랜드,high,검증통과,https://www.samsungactive.co.kr/etf/list.do
별칭사전|국내ETF브랜드,TIMEFOLIO,타임폴리오자산운용 TIMEFOLIO,타임폴리오자산운용의 액티브 ETF 브랜드. 데이터 접두어 'TIME'(19건)은 TIMEFOLIO 상품명에 해당한다.,타임폴리오;TIME;타임폴리오 ETF,운용사브랜드,high,검증통과,https://www.timefolio.co.kr
별칭사전|국내ETF브랜드,WON,우리자산운용 WON,"우리자산운용(우리금융그룹)의 ETF 브랜드. 'WON 미국S&P500', 'WON 미국빌리어네어' 등이 있다.",원 ETF;우리 ETF;우리자산운용 ETF,운용사브랜드,high,검증통과,https://www.wooriam.kr/investment/etf-list
별칭사전|국내ETF브랜드,1Q,하나자산운용 1Q,"하나자산운용의 ETF 브랜드로 2024년 4월 기존 'KTOP'에서 하나금융그룹 공통 브랜드 '1Q'로 변경했다. 데이터의 '1Q'(28건)는 하나자산운용 ETF, '하나'(24건)는 하나증권 ETN이므로 구분 필요.",원큐;KTOP;케이탑;하나자산운용 ETF,운용사브랜드,high,검증통과,https://www.sisajournal-e.com/news/articleView.html?idxno=408069
별칭사전|국내ETF브랜드,KTOP,1Q(하나자산운용)의 구 브랜드,하나자산운용(구 하나UBS자산운용)이 2024년 4월까지 사용한 ETF 구 브랜드로 현재는 '1Q'로 변경됐다.,케이탑;ktop,운용사브랜드,high,검증통과,https://www.sisajournal-e.com/news/articleView.html?idxno=408069
