alias,canonical_en,isin,note
캠브리콘,CAMBRICON TECHNOLOGIES,CNE1000041R8,중국 AI 반도체 — 중-2 유형 공식 예시 종목
엔비디아,NVIDIA CORP,US67066G1040,
애플,APPLE INC,US0378331005,
마이크로소프트,MICROSOFT CORP,US5949181045,
알파벳,ALPHABET INC-CL A,US02079K3059,클래스 A
알파벳,ALPHABET INC-CL C,US02079K1079,클래스 C
구글,ALPHABET INC-CL A,US02079K3059,알파벳 별칭
구글,ALPHABET INC-CL C,US02079K1079,알파벳 별칭
아마존,AMAZON.COM INC,US0231351067,
메타,META PLATFORMS INC-CLASS A,US30303M1027,구 페이스북
페이스북,META PLATFORMS INC-CLASS A,US30303M1027,메타 구명
테슬라,TESLA INC,US88160R1014,
브로드컴,BROADCOM INC,US11135F1012,
에이엠디,ADVANCED MICRO DEVICES,US0079031078,AMD
인텔,INTEL CORP,US4581401001,
퀄컴,QUALCOMM INC,US7475251036,
마이크론,MICRON TECHNOLOGY INC,US5951121038,
어플라이드머티리얼즈,APPLIED MATERIALS INC,US0382221051,
램리서치,LAM RESEARCH CORP,US5128073062,
시놉시스,SYNOPSYS INC,US8716071076,
마벨,MARVELL TECHNOLOGY INC,US5738741041,마벨테크놀로지
테라다인,TERADYNE INC,US8807701029,
마이크로칩,MICROCHIP TECHNOLOGY INC,US5950171042,
엔엑스피,NXP SEMICONDUCTORS NV,NL0009538784,NXP반도체
아이비엠,INTL BUSINESS MACHINES CORP,US4592001014,IBM
시스코,CISCO SYSTEMS INC,US17275R1023,
암젠,AMGEN INC,US0311621009,
길리어드,GILEAD SCIENCES INC,US3755581036,
애보트,ABBOTT LABORATORIES,US0028241000,
펩시코,PEPSICO INC,US7134481081,펩시
코스트코,COSTCO WHOLESALE CORP,US22160K1051,
스타벅스,STARBUCKS CORP,US8552441094,
인튜이트,INTUIT INC,US4612021034,
데이터독,DATADOG INC - CLASS A,US23804L1035,
크라우드스트라이크,CROWDSTRIKE HOLDINGS INC - A,US22788C1053,
팔로알토,PALO ALTO NETWORKS INC,US6974351057,팔로알토네트웍스
포티넷,FORTINET INC,US34959E1091,
워크데이,WORKDAY INC-CLASS A,US98138H1014,
알리바바,ALIBABA GROUP HOLDING LIMITED,KYG017191142,홍콩 상장
알리바바,ALIBABA GROUP HOLDING-SP ADR,US01609W1027,미국 ADR
텐센트,TENCENT HOLDINGS LTD,KYG875721634,
비야디,BYD CO LTD -A,CNE100001526,A주
비야디,BYD CO LTD-H,CNE100000296,H주
BYD,BYD CO LTD -A,CNE100001526,A주
BYD,BYD CO LTD-H,CNE100000296,H주
샤오미,XIAOMI CORPORATION,KYG9830T1067,
메이투안,MEITUAN-CLASS B,KYG596691041,
징동,JD.COM INC-CLASS A,KYG8208B1014,JD닷컴
바이두,BAIDU INC,KYG070341048,홍콩 상장
바이두,BAIDU INC-SPON ADR,US0567521085,미국 ADR
넷이즈,NETEASE INC,KYG6427A1022,
핑안보험,PING AN INSURANCE GROUP CO-H,CNE1000003X6,H주
구이저우마오타이,KWEICHOW MOUTAI CO LTD-A,CNE0000018R8,귀주모태주
마오타이,KWEICHOW MOUTAI CO LTD-A,CNE0000018R8,귀주모태주 별칭
CATL,CONTEMPORARY AMPEREX TECHN-A,CNE100003662,A주 — 닝더스다이
CATL,CONTEMPORARY AMPEREX TECHN-H,CNE100006WS8,H주
닝더스다이,CONTEMPORARY AMPEREX TECHN-A,CNE100003662,CATL 중문명
SMIC,SEMICONDUCTOR MANUFACTURING,KYG8020E1199,중신궈지
중신궈지,SEMICONDUCTOR MANUFACTURING,KYG8020E1199,SMIC
티에스엠씨,TAIWAN SEMICONDUCTOR MANUFAC,TW0002330008,대만 상장
티에스엠씨,TAIWAN SEMICONDUCTOR-SP ADR,US8740391003,미국 ADR
대만반도체,TAIWAN SEMICONDUCTOR MANUFAC,TW0002330008,TSMC
도요타,TOYOTA MOTOR CORP,JP3633400001,토요타
소니,Sony Group Corp,JP3435000009,
네이버,NAVER,035420,국내 종목인데 KRX 등록명이 로마자 — 한글 표기 별칭(8/28 사용자 실측: '네이버 포함 ETF' 미인식)
엔씨소프트,NC,036570,KRX 등록명 'NC' — 통용 한글명
케이티,KT,030200,KRX 등록명 로마자 — 한글 표기
케이티앤지,KT&G,033780,KRX 등록명 로마자 — 한글 표기
에쓰오일,S-Oil,010950,공식 한글 브랜드 표기
에스오일,S-Oil,010950,한글 표기 변형
에이치엠엠,HMM,011200,KRX 등록명 로마자 — 한글 표기
씨제이,CJ,001040,KRX 등록명 로마자 — 한글 표기(지주)
지에스,GS,078930,KRX 등록명 로마자 — 한글 표기(지주)
엘지,LG,003550,KRX 등록명 로마자 — 한글 표기(지주)
엘에스,LS,006260,KRX 등록명 로마자 — 한글 표기(지주)
LS일렉트릭,LS ELECTRIC,010120,국문 혼용 표기(공백·표기 차)
엘에스일렉트릭,LS ELECTRIC,010120,한글 표기
제이와이피,JYP Ent.,035900,KRX 등록명 로마자 — 한글 표기
에프앤에프,F&F,383220,KRX 등록명 로마자 — 한글 표기
