AFTER_TAX_YIELD,APPLIED_YIELD,AVG_ANNUAL_TAX_YIELD,BDBNS_ABL_CHNL_NM,BDBNS_ABL_CHNL_TCD,BD_INRT_TCD,BD_INTP_TCD,BD_KND,BD_OFR_TCD,BD_TISU_A,BUYABLE_QUANTITY,BUY_YIELD,CORP_AFTER_TAX_YIELD,CORP_PRETAX_YIELD,COV,CRD_GRD,CRD_GRD_DT,CURR_CD,DEPO_EQUIV_YIELD_154,DEPO_EQUIV_YIELD_495,DIRTY,DUR,EVAL_PRICE,EXG_CLOSE_PRICE,EXG_CLOSE_PRICE_BASE_DT,EXG_CLOSE_YIELD,EXRT_GRTE_ERN_R,EXRT_GRTE_ERN_R_TCD,EXRT_RPY_R,INFO_BASE_DT,INFO_SEQ,ISU_BAL_AMT,ISU_DT,MAT_DT,NDY_APPLIED_YIELD,NDY_COV,NDY_DIRTY,NDY_DUR,NDY_EVAL_PRICE,PD_ABRV_ENG_NM,PD_ABRV_NM,PD_CTRY_CD,PD_ENG_NM,PD_EXG_MKT,PD_NM,PD_NO,PD_PBCM,PD_PEN_TR_YN,PD_RISK_GCD,PD_RISK_NM,PD_STD_INFO_UPDATE,PREF_TAX_YIELD,REMAINING_DAYS,SALE_YIELD_BASE_DT,SRFC_IRT,STD_PD_MCLS_NM,STD_PD_SCLS_NM,TRADE_PRICE,drv_is_perpetual,drv_maturity_status,drv_is_matured,drv_is_buyable,drv_crd_grd_norm,drv_crd_grd_rank,drv_risk_grade,drv_std_info_lag_days,drv_is_intl_bond
,3.92,,,,고정금리,복리채,지역개발채,공모,71519355000,,,,,8.6272,,,KRW,,,10232.58,2.5359,10232.58,,,,0.0,99,100.0,2026-08-21,1,71432675000.0,2024-03-31,2029-03-31,3.92,8.5877,10233.65,2.5429,10233.65,KYUNGKI PROVINCIAL24-03,경기지역개발24-03,KR,KYUNGKI PROVINCIAL DEVELOPMENT24-03,장외,경기지역개발채권 24-03,KR2044022E39,경기도,Y,16,매우낮은위험(6등급),2026-08-21,,953.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,3.427,,,,고정금리,복리채,지역개발채,공모,10285855000,,,,,1.4363,,,KRW,,,10235.21,0.8365,10235.21,,,,0.0,99,100.0,2026-08-21,1,10250915000.0,2022-06-30,2027-06-30,3.427,1.4135,10236.15,0.8372,10236.15,ULSAN PROVINCIAL22-06,울산지역개발22-06,KR,ULSAN PROVINCIAL DEVELOPMENT22-06,장외,울산지역개발채권 22-06,KR2008012C61,울산광역시,Y,16,매우낮은위험(6등급),2026-08-21,,313.0,,1.05,국공채,지역개발,,N,active,N,Y,,,6,1,N
,3.143,,,,고정금리,복리채,도시철도공채,공모,8652980000,,,,,0.4962,,,KRW,,,10390.19,0.4374,10390.19,,,,0.0,99,100.0,2026-08-21,1,8637900000.0,2022-01-31,2027-01-31,3.143,0.4561,10391.07,0.4372,10391.07,BUSAN SUBWAY22-01,부산도시철도22-01,KR,BUSAN SUBWAY22-01,장외,부산도시철도공채증권 22-01,KR2006024C12,부산광역시,Y,16,매우낮은위험(6등급),2026-08-21,,163.0,,1.05,국공채,도시철도,,N,active,N,Y,,,6,1,N
,4.064,,,,고정금리,복리채,지역개발채,공모,6303435000,,,,,12.8697,,,KRW,,,9927.77,3.1819,9927.77,,,,0.0,99,100.0,2026-08-21,1,6303435000.0,2024-11-30,2029-11-30,4.064,12.8327,9928.86,3.1911,9928.86,KWANGJU PROVINCIAL24-11,광주지역개발24-11,KR,KWANGJU PROVINCIAL DEVELOPMENT24-11,장외,광주지역개발채권 24-11,KR2005032EB7,전남광주통합특별시,N,16,매우낮은위험(6등급),2026-08-21,,1197.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,2.875,,,,고정금리,복리채,도시철도공채,공모,59555275000,,,,,0.0139,,,KRW,,,10881.62,0.0262,10881.62,,,,0.0,99,100.0,2026-08-21,1,59381595000.0,2019-08-31,2026-08-31,2.875,0.0087,10882.48,0.0244,10882.48,SEOUL SUBWAY19-08,서울도시철도19-08,KR,SEOUL METROPOLITAN CITY SUBWAY BOND19-08,장외,서울철도 2019-08,KR2001024984,서울특별시,Y,16,매우낮은위험(6등급),2026-08-21,,10.0,,1.25,국공채,도시철도,,N,active,N,Y,,,6,1,N
,3.754,,,,고정금리,복리채,국민주택1종,공모,1061131140000,,,,,6.0531,,,KRW,,,9868.45,2.0525,9868.45,8566.0,2023-10-31,4.562,0.0,99,100.0,2026-08-21,1,1058687980000.0,2023-09-30,2028-09-30,3.754,6.0311,9869.46,2.0571,9869.46,KNHB (Ⅰ)23-09,국민주택1종23-09,KR,KOREA NATIONAL HOUSING BOND (Ⅰ)23-09,장내,국민주택1종채권 23-09,KR101501DD96,대한민국,Y,16,매우낮은위험(6등급),2026-08-21,,771.0,,1.3,국공채,국민주택,,N,active,N,Y,,,6,1,N
,4.084,,,,고정금리,복리채,도시철도공채,공모,64899305000,,,,,14.6276,,,KRW,,,10257.72,3.4213,10257.72,9152.0,2023-03-31,3.76,0.0,99,100.0,2026-08-21,1,64843360000.0,2023-02-28,2030-02-28,4.084,14.5857,10258.84,3.4315,10258.84,SEOUL SUBWAY23-02,서울도시철도23-02,KR,SEOUL METROPOLITAN CITY SUBWAY BOND23-02,장내,서울도시철도공채증권 23-02,KR2001024D20,서울특별시,Y,16,매우낮은위험(6등급),2026-08-21,,1287.0,,2.5,국공채,도시철도,,N,active,N,Y,,,6,1,N
,4.467,,,,고정금리,복리채,도시철도공채,공모,40303660000,,,,,50.5074,,,KRW,,,8445.68,6.7197,8445.68,0.0,,0.0,0.0,99,100.0,2026-08-21,1,40252020000.0,2026-07-31,2033-07-31,4.467,50.473,8446.67,6.7424,8446.67,SEOUL SUBWAY26-07,서울도시철도26-07,KR,SEOUL METROPOLITAN CITY SUBWAY BOND26-07,장내,서울도시철도공채증권 26-07,KR2001024G76,서울특별시,Y,16,매우낮은위험(6등급),2026-08-21,,2536.0,,2.0,국공채,도시철도,,N,active,N,Y,,,6,1,N
,4.256,,,,고정금리,복리채,도시철도공채,공모,3838400000,,,,,23.7082,,,KRW,,,9108.95,4.4688,9108.95,9087.0,2026-04-30,4.036,0.0,99,100.0,2026-08-21,1,3835600000.0,2026-03-31,2031-03-31,4.256,23.6679,9109.99,4.4832,9109.99,BUSAN SUBWAY26-03,부산도시철도26-03,KR,BUSAN SUBWAY26-03,장내,부산도시철도공채증권 26-03,KR2006014G36,부산광역시,Y,16,매우낮은위험(6등급),2026-08-21,,1683.0,,2.0,국공채,도시철도,,N,active,N,Y,,,6,1,N
,3.751,,,,고정금리,복리채,도시철도공채,공모,8818990000,,,,,4.5082,,,KRW,,,10596.64,1.728,10596.64,9319.0,2023-06-30,4.021,0.0,99,100.0,2026-08-21,1,8818990000.0,2023-05-31,2028-05-31,3.751,4.4772,10597.7,1.7319,10597.7,BUSAN SUBWAY23-05,부산도시철도23-05,KR,BUSAN SUBWAY23-05,장내,부산도시철도공채증권 23-05,KR2006024D52,부산광역시,Y,16,매우낮은위험(6등급),2026-08-21,,649.0,,2.5,국공채,도시철도,,N,active,N,Y,,,6,1,N
