AFTER_TAX_YIELD,APPLIED_YIELD,AVG_ANNUAL_TAX_YIELD,BDBNS_ABL_CHNL_NM,BDBNS_ABL_CHNL_TCD,BD_INRT_TCD,BD_INTP_TCD,BD_KND,BD_OFR_TCD,BD_TISU_A,BUYABLE_QUANTITY,BUY_YIELD,CORP_AFTER_TAX_YIELD,CORP_PRETAX_YIELD,COV,CRD_GRD,CRD_GRD_DT,CURR_CD,DEPO_EQUIV_YIELD_154,DEPO_EQUIV_YIELD_495,DIRTY,DUR,EVAL_PRICE,EXG_CLOSE_PRICE,EXG_CLOSE_PRICE_BASE_DT,EXG_CLOSE_YIELD,EXRT_GRTE_ERN_R,EXRT_GRTE_ERN_R_TCD,EXRT_RPY_R,INFO_BASE_DT,INFO_SEQ,ISU_BAL_AMT,ISU_DT,MAT_DT,NDY_APPLIED_YIELD,NDY_COV,NDY_DIRTY,NDY_DUR,NDY_EVAL_PRICE,PD_ABRV_ENG_NM,PD_ABRV_NM,PD_CTRY_CD,PD_ENG_NM,PD_EXG_MKT,PD_NM,PD_NO,PD_PBCM,PD_PEN_TR_YN,PD_RISK_GCD,PD_RISK_NM,PD_STD_INFO_UPDATE,PREF_TAX_YIELD,REMAINING_DAYS,SALE_YIELD_BASE_DT,SRFC_IRT,STD_PD_MCLS_NM,STD_PD_SCLS_NM,TRADE_PRICE,drv_is_perpetual,drv_maturity_status,drv_is_matured,drv_is_buyable,drv_crd_grd_norm,drv_crd_grd_rank,drv_risk_grade,drv_std_info_lag_days,drv_is_intl_bond
,3.714,,,,고정금리,이표채,유동화회사채,공모,10000000000,,,,,0.2915,AAA,2025-12-12,KRW,,,9994.15,0.499,9994.15,0.0,,0.0,0.0,99,100.0,2026-08-21,1,10000000000.0,2025-12-23,2027-02-23,3.714,0.2893,9995.15,0.4971,9995.15,First 5G 84th SEC1-14,퍼스트파이브지84차유1-14,KR,First 5G Eighty Fourth Securitization Specialty1-14,장내,퍼스트파이브지제팔십사차유동화전문1-14,KR60143NEFC6,퍼스트파이브지제팔십사차유동화전문(,N,15,낮은위험(5등급),2026-08-21,,186.0,,3.112,회사채,일반사채,,N,active,N,Y,AAA,1,5,1,N
,3.847,,,,고정금리,이표채,일반지방공사채,공모,110000000000,,,,,1.6036,AAA,2024-10-25,KRW,,,9946.45,1.1481,9946.45,0.0,,0.0,0.0,99,100.0,2026-08-21,1,110000000000.0,2024-10-25,2027-10-25,3.847,1.5965,9947.48,1.1471,9947.48,GH24-10-83(T),경기주택도시공사24-10-83(지),KR,GYEONGGI HOUSING&URBAN DEVELOPMENT24-10-83(T),장내,경기주택도시공사24-10-83(지),KR353601GEA5,경기주택도시공사,N,16,매우낮은위험(6등급),2026-08-21,,430.0,,3.178,특수채,일반사채,,N,active,N,Y,AAA,1,6,1,N
,4.49,,,,고정금리,이표채,MBS,공모,130000000000,,,,,62.2844,AAA,2015-06-02,KRW,,,8781.44,7.376,8781.44,0.0,,0.0,0.0,99,100.0,2026-08-21,1,130000000000.0,2015-06-02,2035-06-02,4.49,61.2515,8782.51,7.291,8782.51,KHFCMBS2015-11(1-8),주택금융공사MBS2015-11(1-8),KR,Korea Housing Finance CorporationMBS2015-11(1-8),장내,한국주택금융공사 MBS2015-11(1-8)(콜),KR354408G566,한국주택금융공사,N,16,매우낮은위험(6등급),2026-08-21,,3207.0,,2.69,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,3.452,,,,고정금리,이표채,일반회사채,공모,110000000000,,,,,0.2429,AA+,2025-01-14,KRW,,,10007.57,0.3918,10007.57,0.0,,0.0,0.0,99,100.0,2026-08-21,1,110000000000.0,2025-01-14,2027-01-14,3.452,0.2384,10008.5,0.3901,10008.5,POSCO314-1,POSCO314-1,KR,POSCO314-1,장내,POSCO314-1,KR6421091F14,(주)포스코,N,15,낮은위험(5등급),2026-08-21,,146.0,,2.889,회사채,일반사채,,N,active,N,Y,AA+,2,5,1,N
,4.06,,,,고정금리,이표채,MBS,공모,40000000000,,,,,15.9031,AAA,2016-04-08,KRW,,,9175.87,3.6856,9175.87,0.0,,0.0,0.0,99,100.0,2026-08-21,1,40000000000.0,2016-04-08,2031-04-08,4.06,14.2631,9176.87,3.4553,9176.87,KHFCMBS2016-8(1-7),주택금융공사MBS2016-8(1-7),KR,Korea Housing Finance CorporationMBS2016-8(1-7),장내,한국주택금융공사 MBS2016-8(1-7)(콜),KR354407G642,한국주택금융공사,N,16,매우낮은위험(6등급),2026-08-21,,1691.0,,1.909,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,4.069,,,,고정금리,이표채,일반특수법인채,공모,110000000000,,,,,7.3832,AAA,2025-04-28,KRW,,,9629.39,2.5772,9629.39,0.0,,0.0,0.0,99,100.0,2026-08-21,1,110000000000.0,2025-04-28,2029-04-28,4.069,7.3706,9630.44,2.5774,9630.44,KHFC214(S),주택금융공사214(사),KR,Korea Housing Finance Corporation214(S),장내,한국주택금융공사 214(사),KR354414GF43,한국주택금융공사,N,16,매우낮은위험(6등급),2026-08-21,,981.0,,2.54,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,3.109,,,,고정금리,이표채,일반특수법인채,공모,150000000000,,,,,0.0919,AAA,2016-11-07,KRW,,,9985.68,0.2101,9985.68,0.0,,0.0,0.0,99,100.0,2026-08-21,1,150000000000.0,2016-11-07,2026-11-07,3.109,0.0891,9986.52,0.2082,9986.52,NFFC03-11 COUP120-07,수산금융채권(일반)03-11이표120-07,KR,NATIONAL FEDERATION OF FISHERIES COOPERATIVES03-11 COUP120-07,장내,수산금융채권(일반) 03-11이표120-07호,KR380703G6B7,수산업협동조합중앙회,N,16,매우낮은위험(6등급),2026-08-21,,78.0,,2.06,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,3.898,,,,고정금리,이표채,모집지방채,공모,15000000000,,,,,5.6089,,,KRW,,,9781.91,1.8284,9781.91,0.0,,0.0,0.0,99,100.0,2026-08-21,1,4500000000.0,2015-07-24,2029-07-24,3.898,5.5923,9782.91,1.8327,9782.91,INCHON City38,인천지방채38,KR,INCHON Metropolitan City Bond38,장내,인천지방채 38,KR2004011574,인천광역시,N,16,매우낮은위험(6등급),2026-08-21,,1068.0,,2.587,국공채,공모지방채,,N,active,N,Y,,,6,1,N
,4.876,,,,고정금리,이표채,일반특수법인채,공모,100000000000,,,,,397.4343,AAA,2025-11-06,KRW,,,7523.81,16.8394,7523.81,0.0,,0.0,0.0,99,100.0,2026-08-21,1,100000000000.0,2025-11-06,2055-11-06,4.876,397.3239,7524.8,16.8702,7524.8,KORAIL276,한국철도공사276,KR,KOREA RAILROAD CORPORATION276,장내,한국철도공사276,KR354602GFB7,한국철도공사,N,16,매우낮은위험(6등급),2026-08-21,,10669.0,,3.218,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,4.627,,,,고정금리,이표채,일반특수법인채,공모,60000000000,,,,,105.8212,AAA,2011-12-20,KRW,,,10734.76,9.2887,10734.76,0.0,,0.0,0.0,99,100.0,2026-08-21,1,60000000000.0,2009-04-21,2039-04-21,4.627,105.782,10736.1,9.2956,10736.1,KOREA EXPRESSWAY468,도로공사468,KR,KOREA EXPRESSWAY468,장내,한국도로공사468,KR3507037W43,한국도로공사,N,16,매우낮은위험(6등급),2026-08-21,,4626.0,,5.35,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,4.715,,,,고정금리,이표채,일반특수법인채,공모,60000000000,,,,,171.2526,AAA,2021-11-11,KRW,,,7589.19,12.0464,7589.19,0.0,,0.0,0.0,99,100.0,2026-08-21,1,60000000000.0,2021-11-11,2041-11-11,4.715,171.1851,7590.16,12.0672,7590.16,KOREA EXPRESSWAY783,도로공사783,KR,KOREA EXPRESSWAY783,장내,한국도로공사고속도로건설채권 783,KR350703GBB6,한국도로공사,N,16,매우낮은위험(6등급),2026-08-21,,5561.0,,2.417,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,4.485,,,,고정금리,이표채,MBS,공모,50000000000,,,,,51.583,AAA,2019-02-22,KRW,,,8608.8,6.777,8608.8,0.0,,0.0,0.0,99,100.0,2026-08-21,1,50000000000.0,2019-02-22,2034-02-22,4.485,51.9848,8609.84,6.7821,8582.28,KHFCMBS2019-5(1-7),주택금융공사MBS2019-5(1-7),KR,Korea Housing Finance CorporationMBS2019-5(1-7),장내,한국주택금융공사 MBS2019-5(1-7)(콜),KR354412G923,한국주택금융공사,N,16,매우낮은위험(6등급),2026-08-21,,2742.0,,2.205,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,4.267,,,,고정금리,이표채,일반특수법인채,공모,50000000000,,,,,15.404,AAA,2025-08-22,KRW,,,9519.85,3.7375,9519.85,0.0,,0.0,0.0,99,100.0,2026-08-21,1,50000000000.0,2025-08-22,2030-08-22,4.267,15.3883,9520.95,3.7388,9486.34,KOREA WATER RESOURCE289,한국수자원공사289,KR,KOREA WATER RESOURCES289,장내,한국수자원공사289,KR350901GF82,한국수자원공사,N,16,매우낮은위험(6등급),2026-08-21,,1462.0,,2.769,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,3.987,,,,고정금리,이표채,일반회사채,공모,90000000000,,,,,1.0494,AA0,2025-09-16,KRW,,,10056.36,0.9089,10056.36,0.0,,0.0,0.0,99,100.0,2026-08-21,1,90000000000.0,2022-07-27,2027-07-27,3.987,1.0433,10057.44,0.9077,10057.44,SK INNOVATION11-2,SK이노베이션11-2,KR,SK INNOVATION11-2,장내,SK이노베이션11-2,KR6056552C70,SK이노베이션(주),N,15,낮은위험(5등급),2026-08-21,,340.0,,4.289,회사채,일반사채,,N,active,N,Y,AA,3,5,1,N
,3.624,,,,고정금리,이표채,일반회사채,공모,120000000000,,,,,0.3772,AA0,2020-02-25,KRW,,,9937.55,0.5037,9937.55,0.0,,0.0,0.0,99,100.0,2026-08-21,1,120000000000.0,2020-02-25,2027-02-25,3.624,0.3745,9938.53,0.5021,9938.53,LGE95-1,LG전자95-1,KR,LG ELECTRONICS95-1,장내,LG전자95-1,KR6066571A29,LG전자(주),Y,15,낮은위험(5등급),2026-08-21,,188.0,,1.618,회사채,일반사채,,N,active,N,Y,AA,3,5,1,N
,4.011,,,,고정금리,이표채,일반특수법인채,공모,80000000000,,,,,5.6133,AAA,2026-06-26,KRW,,,10058.17,2.2221,10058.17,0.0,,0.0,0.0,99,100.0,2026-08-21,1,80000000000.0,2026-06-26,2028-12-26,4.011,5.6018,10059.26,2.2219,10059.26,KHFC288(S),주택금융공사288(사),KR,Korea Housing Finance Corporation288(S),장내,한국주택금융공사 288(사),KR354420GG69,한국주택금융공사,N,16,매우낮은위험(6등급),2026-08-21,,858.0,,4.0,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,4.203,,,,고정금리,이표채,일반지방공사채,공모,10000000000,,,,,5.1451,AA+,2025-11-12,KRW,,,9802.31,2.1332,9802.31,0.0,,0.0,0.0,99,100.0,2026-08-21,1,10000000000.0,2025-11-12,2028-11-10,4.203,5.135,9803.42,2.1331,9803.42,DTRO57,대구교통공사57,KR,Daegu Transportation 57,장내,대구교통공사57,KR356901GFB1,대구교통공사,N,16,매우낮은위험(6등급),2026-08-21,,812.0,,3.23,특수채,일반사채,,N,active,N,Y,AA+,2,6,1,N
,0.0,,,,고정금리,이표채,일반회사채,사모,20000000000,,,,,13.0601,,,KRW,,,14493.49,3.6138,14493.49,,,,0.0,01,100.0,2026-08-21,1,1143637000.0,2025-04-02,2030-04-02,0.0,13.0501,14494.62,3.6124,14494.62,HANKUK CARBON4CB,한국카본4CB,KR,HANKUK CARBON4CB,장외,한국카본 4CB(사모/전환/풋),KR6017962F40,(주)한국카본,N,11,매우높은위험(1등급),2026-08-21,,1320.0,,0.0,회사채,일반사채,,N,active,N,Y,,,1,1,N
,6.783,,,,고정금리,이표채,일반회사채,사모,7000000000,,,,,0.0156,,,KRW,,,9915.31,0.125,9915.31,,,,0.0,04,100.0,2026-08-21,1,350000000.0,2021-10-06,2026-10-06,6.783,0.0152,9916.08,0.1236,9916.08,Winhitech3CB,윈하이텍3CB,KR,Winhitech3CB,장외,윈하이텍 3CB(사모/전환/풋),KR6192391BA9,(주)윈하이텍,N,11,매우높은위험(1등급),2026-08-21,,46.0,,0.0,회사채,일반사채,,N,active,N,Y,,,1,1,N
,3.64,,,,고정금리,이표채,일반특수법인채,공모,200000000000,,,,,0.6877,AAA,2024-05-13,KRW,,,10003.36,0.7161,10003.36,0.0,,0.0,0.0,99,100.0,2026-08-21,1,200000000000.0,2024-05-13,2027-05-13,3.64,0.6833,10004.35,0.7146,10004.35,KHFC152(S),주택금융공사152(사),KR,Korea Housing Finance Corporation152(S),장내,한국주택금융공사 152(사),KR354409GE58,한국주택금융공사,N,16,매우낮은위험(6등급),2026-08-21,,265.0,,3.58,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,5.441,,,,고정금리,이표채,일반회사채,사모,50000000000,,,,,5.0151,A0,2025-11-11,KRW,,,9779.66,2.9908,9779.66,,,,0.0,99,100.0,2026-08-21,1,50000000000.0,2025-11-11,2055-11-11,5.441,5.0032,9781.0,2.9895,9781.0,ECORBIT8(HY),에코비트8(신종),KR,ECORBIT8(HY),장외,에코비트 8(신종)(사모/콜/후),KR6335571FB3,(주)에코비트,N,11,매우높은위험(1등급),2026-08-21,,10674.0,,5.282,회사채,일반사채,,N,active,N,Y,A,6,1,1,N
,7.035,,,,변동금리,이표채,Conduit회사채,사모,15000000000,,,,,0.0561,,,KRW,,,10722.41,0.1571,10722.41,,,,0.0,99,100.0,2026-08-21,1,15000000000.0,2021-08-03,2028-12-20,7.035,0.0561,10723.43,0.1571,10723.43,New stella 18th2-1,뉴스텔라제십팔차2-1,KR,New stella 18th2-1,장외,뉴스텔라제십팔차2-1(사모),KR6393461B86,뉴스텔라제십팔차(주),N,11,매우높은위험(1등급),2026-08-21,,852.0,,10.036,회사채,일반사채,,N,active,N,Y,,,1,1,N
,4.402,,,,고정금리,이표채,일반특수법인채,공모,130000000000,,,,,23.5859,AAA,2011-12-20,KRW,,,10171.65,4.4769,10171.65,0.0,,0.0,0.0,99,100.0,2026-08-21,1,130000000000.0,2011-09-29,2031-09-29,4.402,23.5632,10172.86,4.4831,10172.86,KR190,국가철도공단채권190,KR,KOREA NATIONAL RAILWAY BOND190,장내,국가철도공단채권 190,KR3527017197,국가철도공단,N,16,매우낮은위험(6등급),2026-08-21,,1865.0,,4.4,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,3.436,,,,고정금리,이표채,일반특수법인채,공모,100000000000,,,,,0.5239,AAA,2022-03-04,KRW,,,10085.01,0.524,10085.01,0.0,,0.0,0.0,99,100.0,2026-08-21,1,100000000000.0,2022-03-04,2027-03-04,3.436,0.5185,10085.95,0.5228,10085.95,KORAIL210,한국철도공사210,KR,KOREA RAILROAD CORPORATION210,장내,한국철도공사210,KR354601GC31,한국철도공사,N,16,매우낮은위험(6등급),2026-08-21,,195.0,,2.694,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,4.675,,,,고정금리,이표채,MBS,공모,110000000000,,,,,79.4806,AAA,2021-03-26,KRW,,,8262.97,8.372,8262.97,0.0,,0.0,0.0,99,100.0,2026-08-21,1,110000000000.0,2021-03-26,2036-03-26,4.675,79.9491,8264.02,8.3769,8264.02,KHFCMBS2021-6(1-7)(S),주택금융공사MBS2021-6(1-7)(사),KR,Korea Housing Finance CorporationMBS2021-6(1-7)(S),장내,한국주택금융공사 MBS2021-6(1-7)(사)(콜),KR354416GB37,한국주택금융공사,N,16,매우낮은위험(6등급),2026-08-21,,3505.0,,2.372,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,4.115,,,,고정금리,이표채,금융지주회사채,공모,200000000000,,,,,3.1048,AAA,2026-06-25,KRW,,,10051.78,1.6324,10051.78,0.0,,0.0,0.0,99,100.0,2026-08-21,1,200000000000.0,2026-06-25,2028-05-04,4.115,3.0938,10052.91,1.6319,10052.91,WooriFinancialGroup29,우리금융지주29,KR,WooriFinancialGroup29,장내,우리금융지주29,KR6316141G64,(주)우리금융지주,N,15,낮은위험(5등급),2026-08-21,,622.0,,4.05,회사채,일반사채,,N,active,N,Y,AAA,1,5,1,N
