컬럼,dtype,결측수,공백문자열수,실질결측률%,고유값수,숫자형문자열,min,max,상위값3
cu_base_index,object,8,0,0.14,1733,,,,Index is not provided by (1984); Index is not available o (721); S&P 500 TR (335)
cu_charge_rt,float64,0,0,0.0,127,,0.0,2.5,0.0 (363); 0.75 (327); 0.5 (288)
cu_etn_yn,object,5587,0,98.96,1,,,,Y (59)
cu_fund_mgmt_co,object,8,0,0.14,372,,,,BlackRock Fund Advisors (497); First Trust Advisors LP (316); Tidal Investments LLC (298)
cu_index_repl_mthd,object,3286,0,58.2,4,,,,Optimized (1802); Swap (289); Full (263)
cu_index_tracking_yn,object,3286,0,58.2,1,,,,Y (2360)
cu_inverse_short_yn,object,5475,0,96.97,1,,,,Y (171)
cu_lev_fector,float64,5646,0,100.0,0,,,,
cu_strtegy,object,8,0,0.14,5566,,,,The Fund seeks daily inv (4); The Fund seeks to provid (4); The Fund seeks to provid (3)
cu_upt_dt,int64,0,0,0.0,1,,20260614.0,20260614.0,20260614 (5646)
du_base_dt_match_yn,object,10,0,0.18,1,,,,N (5636)
du_bpr,float64,10,0,0.18,5181,,0.3089,118350.0,25.07 (6); 25.03 (5); 25.46 (5)
du_clpr,float64,10,0,0.18,5105,,0.2842,120950.0,25.05 (6); 25.13 (5); 25.09 (5)
du_clpr_base_dt,float64,10,0,0.18,86,,20250728.0,20260616.0,20260616.0 (5375); 20260609.0 (14); 20260410.0 (12)
du_clpr_src,object,10,0,0.18,1,,,,pd65n101.tday_clpr (5636)
du_diff_rt,float64,5643,0,99.95,3,,3.2972,37585.0,3.2972 (1); 8.1175 (1); 37585.0 (1)
du_er_1d,float64,258,0,4.57,1,,0.0,0.0,0.0 (5388)
du_hpr,float64,10,0,0.18,4621,,0.3901,120350.0,25.18 (8); 25.16 (7); 25.09 (6)
du_last_aum,float64,187,0,3.31,4743,,0.0,995484630000.0,980000.0 (9); 1000000.0 (9); 0.0 (8)
du_last_nav,float64,4964,0,87.92,527,,0.2,64032.0,25.0 (20); 26.0 (9); 27.0 (7)
du_lpr,float64,10,0,0.18,4735,,0.2842,119600.0,25.01 (7); 25.12 (6); 25.04 (6)
du_nav_base_dt,object,0,0,0.0,1,,,,2026-06-14 00:00:00 (5646)
du_opr,float64,10,0,0.18,4231,,0.3747,119650.0,25.08 (9); 29.0 (7); 25.04 (7)
du_upt_dt,int64,0,0,0.0,88,,20250729.0,20260616.0,20260616 (4959); 20260613 (412); 20260610 (14)
du_val_1d,float64,10,0,0.18,5352,,0.0,34411870125.0,0.0 (187); 50.0 (4); 99.0 (3)
du_vol_1d,float64,10,0,0.18,4852,,0.0,457196285.0,0.0 (187); 2.0 (29); 4.0 (18)
pd_abrv_nm,object,0,0,0.0,5641,,,,JOYT (2); NERD (2); SHV (2)
pd_curr_cd,object,8,0,0.14,2,,,,USD (5637); INR (1)
pd_exg_mkt_cd,object,0,0,0.0,5,,101.0,102.0,AMX (4241); NAS (1296); NYS (78)
pd_grp_no,object,0,0,0.0,2,,,,ETF (5587); ETN (59)
pd_isin_cd,object,9,0,0.16,5587,,,,US78464A8541 (2); US41653L8596 (2); US77926X8746 (2)
pd_itm_no,object,0,0,0.0,5646,,,,KMAY.K (1); EES (1); CHGX.O (1)
pd_itm_no_ma,object,0,0,0.0,5646,,,,KMAY.K (1); EES (1); CHGX.O (1)
pd_lipper_id,float64,8,0,0.14,5588,,40001121.0,68578221.0,40104016.0 (2); 40218523.0 (2); 40302369.0 (2)
pd_lstg_dt,int64,0,0,0.0,1956,,0.0,20260611.0,20260602 (45); 20260505 (43); 20260331 (26)
pd_lst_price,float64,10,0,0.18,2,,0.0,0.01,0.0 (5635); 0.01 (1)
pd_lst_stk_cnt,float64,0,0,0.0,3105,,0.0,3221742601.0,0.0 (86); 200000.0 (43); 50000.0 (42)
pd_mkt_id,object,0,0,0.0,1,,,,US (5646)
pd_nm,object,0,0,0.0,5630,,,,Tema International Defen (2); JPMorgan ActiveBuilders  (2); Eventide US Market ETF (2)
pd_sale_yn,float64,10,0,0.18,1,,1.0,1.0,1.0 (5636)
pd_trd_ccy,object,0,0,0.0,1,,,,USD (5646)
pd_tr_yn,float64,10,0,0.18,1,,0.0,0.0,0.0 (5636)
pd_us_cik,float64,13,0,0.23,374,,19617.0,2104659.0,1100663.0 (380); 1924868.0 (198); 1415726.0 (183)
ru_mkt_price,float64,10,0,0.18,5101,,0.2842,120350.0,25.05 (6); 25.75 (5); 25.09 (5)
ru_mkt_volume,float64,10,0,0.18,4852,,0.0,457196285.0,0.0 (187); 2.0 (29); 4.0 (18)
wu_core_yn,object,5543,0,98.18,1,,,,N (103)
wu_inv_ast_type,object,8,0,0.14,6,,,,Equity (2500); Alternatives (1800); Bond (1084)
wu_inv_rgn,object,8,0,0.14,59,,,,United States of America (4196); Global (718); Global Ex US (303)
wu_upt_dt,int64,0,0,0.0,1,,20260614.0,20260614.0,20260614 (5646)
