컬럼,dtype,결측수,공백문자열수,실질결측률%,고유값수,숫자형문자열,min,max,상위값3
cu_base_index,object,125,1551,96.66,19,,,,종합채권 3개월~1년 (14); KOSPI200 (9); MSCI ACWI (6)
cu_charge_etc_rt,float64,181,0,10.44,1,,0.0,0.0,0.0 (1553)
cu_charge_rt,float64,1517,0,87.49,17,,0.0,0.64,0.0 (150); 0.4 (21); 0.49 (19)
cu_fund_mgmt_co,object,0,0,0.0,97,,,,삼성 (224); 미래에셋 (193); KB (147)
cu_lev_fector,float64,183,0,10.55,9,,-3.0,3.0,1.0 (1169); 2.0 (190); -2.0 (105)
cu_strtegy,object,155,0,8.94,4,,,,실물복제 (745); C (409); 액티브 (343)
cu_upt_dt,float64,183,0,10.55,11,,20260409.0,20260615.0,20260615.0 (1517); 20260520.0 (8); 20260601.0 (5)
du_bpr,float64,5,0,0.29,1403,,0.0,1074750.0,0.0 (168); 13160.0 (3); 10080.0 (3)
du_chas_errt,float64,183,0,10.55,1,,0.0,0.0,0.0 (1551)
du_clpr,float64,5,0,0.29,1415,,0.0,1074835.0,0.0 (167); 14100.0 (4); 12380.0 (4)
du_diff_rt,float64,217,0,12.51,1,,0.0,0.0,0.0 (1517)
du_er_1d,float64,172,0,9.92,817,,-18.11,22.43,0.0 (78); 0.01 (21); 0.02 (9)
du_er_1m,float64,194,0,11.19,1153,,-100.0,50.76,0.0 (54); -100.0 (20); 0.18 (10)
du_er_1y,float64,357,0,20.59,1219,,-100.0,2738.95,-100.0 (98); 0.0 (14); 2.7 (3)
du_er_3m,float64,229,0,13.21,1250,,-100.0,350.19,0.0 (46); -100.0 (37); 0.63 (7)
du_er_6m,float64,258,0,14.88,1275,,-100.0,818.57,-100.0 (53); 0.0 (35); 1.39 (5)
du_er_ytd,float64,257,0,14.82,1281,,-100.0,701.69,-100.0 (44); 0.0 (38); 1.14 (8)
du_hpr,float64,5,0,0.29,1387,,0.0,1074835.0,0.0 (219); 11930.0 (4); 55400.0 (3)
du_last_aum,float64,281,0,16.21,1043,,0.0,28359162742500.0,0.0 (411); 36630110000.0 (1); 18140234000.0 (1)
du_last_nav,float64,183,0,10.55,1537,,14.55,1074635.23,55401.72 (3); 13380.73 (2); 1523.28 (2)
du_lpr,float64,5,0,0.29,1388,,0.0,1074830.0,0.0 (219); 10105.0 (4); 14800.0 (3)
du_nav_rnf_amt,float64,217,0,12.51,1502,,-1074635.23,35657.47,8.86 (4); 533.69 (2); -21.83 (2)
du_nav_yday,float64,217,0,12.51,1504,,12.41,1074635.23,55392.86 (3); 39618.46 (2); 302831.7 (2)
du_upt_dt,object,217,0,12.51,1,,,,2026-06-15 00:00:00 (1517)
du_val_1d,float64,5,0,0.29,1475,,0.0,2954894832243.0,0.0 (255); 773189016.0 (1); 1127563999.0 (1)
du_val_1m,float64,40,0,2.31,1491,,0.0,3068646617382.65,0.0 (204); 101121801.65 (1); 1641952931.7 (1)
du_val_5d,float64,5,0,0.29,1497,,0.0,2649650947844.6,0.0 (233); 6920045361.2 (1); 48396495.0 (1)
du_vol_1d,float64,5,0,0.29,1365,,0.0,6109020945.0,0.0 (255); 1.0 (21); 2.0 (8)
du_vol_avg_1m,float64,38,0,2.19,1489,,0.0,9342240793.3,0.0 (204); 0.1 (3); 0.3 (2)
du_vol_avg_5d,float64,5,0,0.29,1469,,0.0,8983542191.8,0.0 (233); 0.4 (5); 1.6 (4)
nru_mkt_diff_rt,float64,1734,0,100.0,0,,,,
nru_mkt_inav,float64,1734,0,100.0,0,,,,
pd_abrv_nm,object,0,0,0.0,1727,,,,메리츠 인버스 2X 은 선물 ETN(H) (2); 한투 인버스금선물 ETN (2); 메리츠 천연가스 선물 ETN(H) (2)
pd_circ_net_tamt,float64,183,0,10.55,658,,0.0,19029494000000.0,0.0 (893); 9240000000.0 (2); 171864000000.0 (1)
pd_circ_stk_cnt,float64,183,0,10.55,622,,0.0,1128710000.0,0.0 (411); 500000.0 (32); 600000.0 (24)
pd_curr_cd,object,1,0,0.06,2,,,,CURR_CD_KRW (1732); CURR_CD_000 (1)
pd_curr_nm,object,1,0,0.06,2,,,,한국원화 (1732); 해당없음 (1)
pd_divd_amt_pshr,float64,183,0,10.55,1,,0.0,0.0,0.0 (1551)
pd_dvid_cycl,object,183,1551,100.0,0,,,,
pd_dvid_yield,float64,183,0,10.55,1,,0.0,0.0,0.0 (1551)
pd_exg_mkt_cd,object,1,0,0.06,1,,,,EXG_MKT_NO_001 (1733)
pd_exg_mkt_nm,object,1,0,0.06,1,,,,유가증권 (1733)
pd_grp_no,object,0,0,0.0,2,,,,ETF (1202); ETN (532)
