컬럼,dtype,결측수,공백문자열수,실질결측률%,고유값수,숫자형문자열,min,max,상위값3
PD_NO,object,0,0,0.0,42394,,,,KRZ607461001 (1); KR101501DA16 (1); KR101501DA24 (1)
PD_EXG_MKT,object,0,0,0.0,2,,,,장내 (24749); 장외 (17645)
PD_NM,object,0,0,0.0,42284,,,,이도콘텐츠랩 1CB(전환) (5); 엠에프엠코리아8CB (5); 국보12CB (4)
PD_ABRV_NM,object,69,296,0.86,42010,,,,에이치와이프로젝트제1 (5); 케이씨지아이에스에프1 (3); 국민주택2종16-05 (2)
PD_ENG_NM,object,26,298,0.76,42045,,,,DAYOU PLUS12 (3); UNION KOREA PHARM3 (3); Eone-Diagnomics Genome C (3)
PD_ABRV_ENG_NM,object,72,298,0.87,41995,,,,Mirae Asset Vision S1CB (5); online funding movie1PB (4); Hana Financial Twent1CB (4)
PD_CTRY_CD,object,0,0,0.0,2,,,,KR (42393); XS (1)
PD_PBCM,object,918,0,2.17,8018,,,,한국주택금융공사 (2384); 한국산업은행 (1076); (주)중소기업은행 (720)
STD_PD_MCLS_NM,object,0,0,0.0,6,,,,회사채 (31447); 특수채 (8755); 국공채 (2137)
STD_PD_SCLS_NM,object,13,0,0.03,16,,,,일반사채 (30958); 공사채 (5386); 특수은행채 (2436)
BD_KND,object,924,0,2.18,39,,,,일반회사채 (13998); 할부금융채 (4677); 일반특수법인채 (3019)
CURR_CD,object,0,0,0.0,5,,0.0,0.0,KRW (42372); USD (19); EUR (1)
ISU_BAL_AMT,int64,0,0,0.0,4452,,0.0,46971000000000.0,0 (4942); 10000000000 (2855); 20000000000 (2238)
ISU_DT,float64,3,0,0.01,3146,,0.0,20260330.0,20250626.0 (602); 20241024.0 (440); 20250529.0 (358)
MAT_DT,float64,3,0,0.01,5351,,0.0,99991231.0,20250530.0 (397); 0.0 (316); 20270429.0 (273)
SRFC_IRT,float64,2,0,0.0,5676,,0.0,34.277,0.0 (2758); 2.5 (738); 1.05 (678)
PD_EVCO_CRD_GRD,object,17428,0,41.11,100,,,,"AAA, AAA, AAA (6427); AA-, AA-, AA- (4118); AAA, AAA (4065)"
PD_RISK_GCD,int64,0,0,0.0,7,,0.0,6.0,1 (15950); 5 (13696); 6 (10408)
PD_STD_INFO_UPDATE,float64,10571,0,24.94,910,,20181005.0,20260224.0,20260224.0 (20160); 20250626.0 (375); 20250929.0 (210)
BUY_YIELD,float64,41513,0,97.92,539,,1.705,5.57,2.68 (11); 3.5 (11); 2.75 (9)
CORP_PRETAX_YIELD,float64,41513,0,97.92,829,,-0.7589,6.6492,3.3123 (5); 2.8795 (3); 3.6732 (3)
CORP_AFTER_TAX_YIELD,float64,41513,0,97.92,829,,-0.7589,6.0847,2.9109 (5); 2.7127 (3); 2.7581 (3)
AFTER_TAX_YIELD,float64,41513,0,97.92,828,,-1.1514,6.0847,2.9109 (5); 2.9697 (3); 2.7581 (3)
PREF_TAX_YIELD,float64,41513,0,97.92,836,,-0.7589,6.301,3.0647 (5); 2.7766 (4); 3.5899 (3)
AVG_ANNUAL_TAX_YIELD,float64,41513,0,97.92,1,,0.0,0.0,0.0 (881)
DEPO_EQUIV_YIELD_154,float64,41513,0,97.92,828,,-1.361,7.1923,3.4408 (5); 3.5103 (3); 3.2602 (3)
BUYABLE_QUANTITY,float64,41513,0,97.92,295,,0.0,12323631000.0,0.0 (556); 1000.0 (19); 10000000.0 (7)
REMAINING_DAYS,float64,10645,0,25.11,3942,,0.0,20920.0,0.0 (7805); 730.0 (853); 1096.0 (544)
DUR,float64,13376,0,31.55,14850,,0.0,99.0,0.0 (8268); 0.0075 (39); 0.0265 (33)
COV,float64,13376,0,31.55,16187,,0.0,2499.0,0.0 (8326); 0.0011 (49); 0.0044 (41)
NDY_DUR,float64,13376,0,31.55,14606,,0.0,99.0,0.0 (8600); 0.0054 (60); 0.0922 (35)
NDY_COV,float64,13376,0,31.55,15940,,0.0,2499.0,0.0 (8646); 0.0007 (85); 0.003 (45)
EVAL_PRICE,float64,10571,0,24.94,20312,,0.0,414569.5483,10000.0 (2848); 10536.0 (208); 0.0 (57)
APPLIED_YIELD,float64,10571,0,24.94,3851,,-0.415,787.327,0.0 (1289); 6.028 (205); 6.0 (104)
DIRTY,float64,13376,0,31.55,19664,,0.0,77323.08,10000.0 (733); 10536.0 (246); 10086.76 (24)
NDY_EVAL_PRICE,float64,13376,0,31.55,16426,,0.0,77342.91,0.0 (8505); 10033.55 (22); 10061.64 (21)
NDY_APPLIED_YIELD,float64,13376,0,31.55,2944,,-0.295,787.327,0.0 (8869); 3.691 (55); 3.503 (48)
NDY_DIRTY,float64,13376,0,31.55,16380,,0.0,77342.91,0.0 (8505); 10033.55 (22); 10062.0 (21)
CRD_GRD,object,17644,0,41.62,20,,,,AAA (12240); AA- (4939); AA+ (3191)
CRD_GRD_DT,float64,14829,0,34.98,2318,,0.0,20260609.0,20250626.0 (466); 20250529.0 (240); 20240930.0 (229)
