분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
등급체계:위험등급,투자위험등급(1~6등급),투자성 상품 투자위험등급 6단계 체계,"금융소비자보호법 제19조에 따라 판매회사가 모든 투자성 상품에 부여하는 위험등급으로, 1등급이 가장 위험하고 숫자가 커질수록 위험이 낮아진다. 시장위험·신용위험·환율위험을 종합해 산정하며 구간별 명칭은 매우높은위험(1)~매우낮은위험(6)이다.",위험등급; 상품위험등급; 투자위험도; 펀드위험등급; risk grade,"정수 1~6, 1=최고위험·6=최저위험(숫자와 위험도 역방향)",high,,금융위원회 「투자성 상품 위험등급 산정 가이드라인」 보도자료(2023.1.24) https://www.fsc.go.kr/po010101/79327 및 별첨 원문 https://www.fsc.go.kr/comm/getFile?srvcId=BBSTY1&upperNo=79327&fileTy=ATTACH&fileNo=10
등급체계:위험등급,1등급(매우높은위험),매우 높은 위험(1등급),"원금 전액 손실이 가능한 최고 위험 등급. 레버리지·인버스 ETF, 장내파생상품, ELW, 레버리지 등 특수구조 펀드, B+ 이하 또는 무등급 채권, 조건부자본증권 등이 해당한다.",매우높은위험; 초고위험; 매우 높은 위험; 공격투자형 상품,펀드(운용사 2016 기준): 3년 변동성 25% 초과 / 판매사(2024~ 가이드라인): 97.5% VaR 50% 초과 또는 특례 부여,high,,금융위 가이드라인 원문(위 URL); 비즈워치 2016.7.4 http://news.bizwatch.co.kr/article/market/2016/07/04/0002
등급체계:위험등급,2등급(높은위험),높은 위험(2등급),"상장주식(지분증권)의 원칙 등급이며, 고위험자산에 80% 이상 투자하는 펀드, BB급 채권 등이 해당한다. 고난도금융투자상품은 산출등급과 무관하게 최소 2등급(1등급 산출 시 1등급 유지)을 부여한다.",높은위험; 고위험; 높은 위험,펀드(2016 기준): 변동성 25% 이하 / 판매사(2024~): 97.5% VaR 50% 이하,high,,금융위 가이드라인 원문 https://www.fsc.go.kr/comm/getFile?srvcId=BBSTY1&upperNo=79327&fileTy=ATTACH&fileNo=10
등급체계:위험등급,3등급(다소높은위험),다소 높은 위험(3등급),"고위험자산에 80% 미만 투자하는 펀드, BBB+~BBB- 채권, 최대손실률 20% 이하 파생결합증권에 주로 투자하는 펀드 등이 해당한다.",다소높은위험; 다소 높은 위험; 중고위험,펀드(2016 기준): 변동성 15% 이하 / 판매사(2024~): 97.5% VaR 30% 이하,high,,금융위 가이드라인 원문(위 URL); 브런치(KB자산운용 펀드가이드) https://brunch.co.kr/@0a82639281124a8/188
등급체계:위험등급,4등급(보통위험),보통 위험(4등급),"고위험자산 50% 미만 또는 중위험자산 60% 이상 투자 펀드, A+~A- 채권 등이 해당한다.",보통위험; 보통 위험; 중위험,펀드(2016 기준): 변동성 10% 이하 / 판매사(2024~): 97.5% VaR 20% 이하,high,,금융위 가이드라인 원문(위 URL); 브런치(KB자산운용 펀드가이드) https://brunch.co.kr/@0a82639281124a8/188
등급체계:위험등급,5등급(낮은위험),낮은 위험(5등급),"저위험자산(국공채·A- 이상 회사채 등) 60% 이상 투자 펀드, 원금보존추구형 파생결합증권 투자 펀드, 신용등급 AAA~AA- 회사채·금융채 등이 해당한다.",낮은위험; 낮은 위험; 저위험,펀드(2016 기준): 변동성 5% 이하 / 판매사(2024~): 97.5% VaR 10% 이하,high,,금융위 가이드라인 원문(위 URL); 유안타증권 위험등급 안내 https://www.myasset.com/myasset/static/customer/bzInfo/CU_0405000_P1.jsp
등급체계:위험등급,6등급(매우낮은위험),매우 낮은 위험(6등급),"MMF, 단기 국공채 펀드, 국고채·통안채·지방채·특수채 등 증권신고서 제출의무가 면제되는 국공채류(신용위험 최저)가 해당하는 최저 위험 등급.",매우낮은위험; 매우 낮은 위험; 초저위험; 안전등급,펀드(2016 기준): 변동성 0.5% 이하 / 판매사(2024~): 97.5% VaR 1% 이하,high,,금융위 가이드라인 원문(위 URL); 유안타증권 위험등급 안내(위 URL)
등급체계:위험등급,2016년 펀드 위험등급 개편,금융감독원 펀드 투자위험등급 분류기준 개편(2016.7.4 시행),"공모펀드 위험등급을 5단계에서 6단계로 세분화하고, 산정기준을 '투자대상자산 종류'에서 '실제 수익률 변동성'으로 전환했으며, 펀드 등록시점 고정 방식에서 매 결산시점 재분류 방식으로 변경했다. 설정 3년 이상 펀드는 최근 3년 주간수익률 표준편차의 연환산 변동성으로, 3년 미만 펀드는 투자대상자산 기준으로 산정한다.",펀드 위험등급 6단계 개편; 위험등급 세분화; 변동성 기준 위험등급,"변동성 구간: 1등급 >25%, 2등급 ≤25%, 3등급 ≤15%, 4등급 ≤10%, 5등급 ≤5%, 6등급 ≤0.5%",high,,비즈워치 2016.7.4 http://news.bizwatch.co.kr/article/market/2016/07/04/0002; 펀드닥터 https://www.funddoctor.co.kr/board/aboard/content.jsp?name=fund_abc&page=1&number=309; 브런치(KB자산운용) https://brunch.co.kr/@0a82639281124a8/188
등급체계:위험등급,투자성 상품 위험등급 산정 가이드라인,"금소법 투자성 상품 위험등급 산정 가이드라인(2023 제정, 2024.1.1 신규판매분 적용)","금융위·금감원이 2023.1.24 마련한 판매사 공통 기준으로, 시장위험(상품유형별 6단계)·신용위험(신용등급 기반)·환율위험(외화상품 종합등급 1~2등급 상향)을 종합해 1~6등급을 산정하고, 유동성위험은 중도환매 불가/비용발생/허용 3단계로 별도 기재한다. 설정 3년 경과 공모펀드는 과거 3년 일간수익률의 97.5% VaR(연환산)로 시장위험등급을 매기고, 개방형 상품은 연 1회(결산시점) 재산정한다(거래소에서 직접 거래하는 ETF는 재산정 의무 제외).",금소법 위험등급; 판매사 위험등급; 위험등급 가이드라인; 표준투자권유준칙 위험등급,"97.5% VaR 구간: 1등급 >50%, 2등급 ≤50%, 3등급 ≤30%, 4등급 ≤20%, 5등급 ≤10%, 6등급 ≤1%",high,,"금융위 보도자료 https://www.fsc.go.kr/po010101/79327; 원문 PDF(위 URL); 토스증권 투자권유준칙(2026.1.1판, '24.1.1 적용 명시) https://corp.tossinvest.com/static/docs/Investment_Recommendation_2026_01_01.pdf"
코드표:위험등급,채권 신용등급→위험등급 매핑(가이드라인 표1),신용평가회사 신용등급에 따른 신용위험등급 분류,"채무증권(장외채권 포함)은 발행사(보증채는 보증기관) 신용등급으로 위험등급을 부여한다: 국공채 등=6등급, AAA~AA-=5등급, A+~A-=4등급, BBB+~BBB-=3등급, BB+~BB-=2등급, B+ 이하 또는 무등급=1등급. 해외채권은 환율위험으로 0~2등급 추가 상향하며, 조건부자본증권은 상각·전환 위험을 반영한다(실무상 1등급 관행).",신용등급 위험등급 변환; 채권 위험등급 기준; 신용위험등급,장기 신용등급 기준; 잔존만기·듀레이션은 채무증권 위험등급 산정에 미반영,high,,금융위 가이드라인 원문 <표1> https://www.fsc.go.kr/comm/getFile?srvcId=BBSTY1&upperNo=79327&fileTy=ATTACH&fileNo=10; 유안타증권 https://www.myasset.com/myasset/static/customer/bzInfo/CU_0405000_P1.jsp
코드표:위험등급,단기 신용등급→위험등급 매핑,단기등급(CP·전단채) 신용위험등급 분류,"가이드라인 표1의 단기등급 행은 A1, A2, A3, 'B 이하 또는 무등급' 4개 구간으로 구성된다. 장기등급 대응관계상 A1→5등급, A2→4등급, A3→3등급, B 이하·무등급→2~1등급으로 배치되는 것으로 해석되나 표의 셀 병합 방식은 원문 서식상 완전히 확정하지 못했다.",CP 등급; 기업어음 신용등급; 전자단기사채 등급,단기 신용등급(A1~D),medium,,금융위 가이드라인 원문 <표1>(위 URL)
등급체계:위험등급,장외채권 위험등급 부여 관행(증권사),증권사 장외채권 상품위험등급 부여 방식,"판매 증권사는 가이드라인 표1을 따라 신용등급→위험등급 매핑으로 장외채권 위험등급을 부여한다. 유안타증권 공시 예: 6등급=국고채·통안채·지방채·특수채(AAA) 등, 5등급=AA-~AAA, 4등급=A-~A+, 3등급=BBB-~BBB+, 2등급=BB-~BB+, 1등급=B+ 이하·무등급·조건부자본증권이며, 미래에셋증권도 1등급(매우높은위험)~6등급(매우낮은위험) 체계에서 AA-~AAA를 5등급(낮은위험)으로 분류하는 동일 체계를 쓴다.",채권몰 위험등급; 장외채권 등급; 채권 상품위험등급,"신용등급 기반, 조건부자본증권(신종자본증권·코코본드)은 1등급 관행",high,,유안타증권 https://www.myasset.com/myasset/static/customer/bzInfo/CU_0405000_P1.jsp; 미래에셋증권 위험도 분류표 https://securities.miraeasset.com/hku/hku4028/p01.do 및 발행어음 설명서 https://securities.miraeasset.com/hki/hki3032/n14.do
컬럼사전:위험등급,PD_RISK_GCD(국내채권),상품 투자위험등급 구분코드(채권),"bigint 0~6으로, 1~6은 투자위험등급 숫자(1=매우높은위험~6=매우낮은위험)이며 등급명 컬럼이 없어 ETF·펀드 테이블의 등급명 체계를 차용해 해석한다. 관측 분포(5등급 13,696=AAA~AA- 회사채·금융채, 6등급 10,408=국공채류, 4등급 1,938=A급, 3등급 282=BBB급, 2등급 62=BB급)가 국내 채권 신용등급 분포와 정합해 정방향(1=최고위험) 매핑이 확인된다.",채권 위험등급 코드; 상품위험등급,정수 0~6; 0은 등급 미산정 추정,high,,제공 데이터 분포와 금융위 가이드라인 <표1> 대조(위 URL)
값사전:위험등급,"PD_RISK_GCD=1(국내채권, 15,950건)",채권 1등급(매우높은위험) 대량 관측 해석,"가이드라인상 'B+ 이하 또는 무등급' 채권이 1등급으로 매핑되므로, 신용평가를 받지 않은 무등급 채권(사모사채·전환사채·신주인수권부사채 등)과 투기등급 채권, 조건부자본증권(신종자본증권·후순위채)이 모두 1등급에 몰린 결과로 추정된다. 채무증권 위험등급에는 잔존만기(듀레이션)가 반영되지 않으므로 장기 국고채 때문이 아니며, AAA 다수 분포와 모순되지 않는다.",무등급 채권; 투기등급 채권; 신종자본증권 위험등급,1등급=B+ 이하·무등급·조건부자본증권,medium,,금융위 가이드라인 원문 <표1> 및 채무증권 조항(위 URL); 유안타증권 분류표(1등급에 무등급·조건부자본증권 명시)
값사전:위험등급,"PD_RISK_GCD=0(국내채권, 58건)",채권 위험등급 0 값,"1~6등급 체계에 존재하지 않는 값으로, 위험등급 미산정·미분류(코드 미부여) 레코드의 placeholder로 추정된다. 웹에서 공식 정의를 확인하지 못했다.",미분류; 등급없음; 미산정,0=미분류 추정(널 대체값 가능),low,,"웹 확인 불가, 데이터 관측 기반 추정(open question)"
컬럼사전:위험등급,pd_risk_cd(국내ETF),상품 투자위험등급 코드(ETF),"'PD_RISK_GCD_11'~'PD_RISK_GCD_16' 형태의 코드 문자열로, 접미 숫자에서 10을 빼면 위험등급 숫자가 된다(11→1등급 매우높은위험 … 16→6등급 매우낮은위험). pd_risk_nm(등급명)과 1:1 대응한다.",ETF 위험등급 코드; 투자위험등급코드,코드 문자열; 정규화: int(suffix)-10 = 등급,high,,제공 데이터 코드-명칭 쌍 관측 + 가이드라인 6단계 명칭 일치(금융위 보도자료 https://www.fsc.go.kr/po010101/79327)
지수정규화:위험등급,위험등급 코드·명칭 정규화 규칙,테이블 간 위험등급 통일 규칙,"세 테이블의 위험등급은 하나의 축으로 정규화된다: 국내ETF pd_risk_cd 'PD_RISK_GCD_1x'→x등급, 국내채권 PD_RISK_GCD 정수 x→x등급(0은 미분류), 공모펀드 zrin_fd_ivst_risk_gcd x→x등급. 등급명은 띄어쓰기·괄호 표기만 다르므로('매우높은위험(1등급)' vs '매우 높은 위험') 공백 제거 후 매칭하고 숫자가 작을수록 위험이 높다는 방향성을 항상 유지한다.",등급 매핑; 코드 정규화; 위험등급 변환,"정규형: {1:매우높은위험, 2:높은위험, 3:다소높은위험, 4:보통위험, 5:낮은위험, 6:매우낮은위험}",high,,제공 데이터 관측값 + 금융위 가이드라인 등급 명칭(위 URL)
값사전:위험등급,PD_RISK_GCD_11,매우높은위험(1등급),"국내ETF 투자위험등급 1등급. 레버리지·인버스, 파생형·고변동성 ETF가 주로 해당하며 관측 761건으로 최다이다.",매우 높은 위험; 초고위험 ETF,→ 1등급,high,,제공 데이터; 금융위 가이드라인(레버리지·인버스 ETF 1등급 상향 조항)
값사전:위험등급,PD_RISK_GCD_12,높은위험(2등급),국내ETF 투자위험등급 2등급(관측 667건). 일반 주식형(지수추종) ETF가 주로 해당한다.,높은 위험,→ 2등급,high,,제공 데이터; 금융위 가이드라인 명칭 체계
값사전:위험등급,PD_RISK_GCD_13,다소높은위험(3등급),국내ETF 투자위험등급 3등급(관측 84건). 혼합형·저변동 주식형 등이 해당한다.,다소 높은 위험,→ 3등급,high,,제공 데이터; 금융위 가이드라인 명칭 체계
값사전:위험등급,PD_RISK_GCD_14,보통위험(4등급),국내ETF 투자위험등급 4등급(관측 86건). 채권혼합형·장기채권형 등이 해당한다.,보통 위험,→ 4등급,high,,제공 데이터; 금융위 가이드라인 명칭 체계
값사전:위험등급,PD_RISK_GCD_15,낮은위험(5등급),국내ETF 투자위험등급 5등급(관측 115건). 우량 채권형 ETF 등이 해당한다.,낮은 위험,→ 5등급,high,,제공 데이터; 금융위 가이드라인 명칭 체계
값사전:위험등급,PD_RISK_GCD_16,매우낮은위험(6등급),국내ETF 투자위험등급 6등급(관측 21건). 단기 국공채·머니마켓(파킹형) ETF 등이 해당한다.,매우 낮은 위험; 초저위험,→ 6등급,high,,제공 데이터; 금융위 가이드라인 명칭 체계
등급체계:위험등급,ETF·ETN 위험등급 특례,레버리지·인버스 ETF 및 ETN 위험등급 특례,"레버리지(1배 초과 연동)·인버스(음의 배율) ETF는 VaR로 산출한 위험등급에서 1등급 상향하며, ETN은 1~2등급 내에서 분류하되 레버리지·인버스·해외지수·상품 등 특수 기초자산 추종 시 1등급을 부여한다. 투자자가 거래소에서 직접 거래하는 ETF는 판매사의 연 1회 재산정 의무 대상에서 제외된다.",레버리지 ETF 등급; 인버스 ETF 등급; ETN 위험등급,레버리지·인버스: VaR 등급 -1(상향),high,,금융위 가이드라인 원문 https://www.fsc.go.kr/comm/getFile?srvcId=BBSTY1&upperNo=79327&fileTy=ATTACH&fileNo=10
컬럼사전:위험등급,zrin_fd_ivst_risk_gcd(공모펀드),제로인 펀드 투자위험등급 구분코드,"펀드평가사 제로인이 집계·제공하는 공모펀드 투자위험등급 숫자(1~6)로, 등급명 컬럼 zrin_fd_ivst_risk_grd_nm과 쌍을 이룬다. 등급명이 금감원 공식 6단계 명칭과 완전히 일치하므로 제로인 자체 평가등급이 아니라 투자설명서상 공식 투자위험등급을 수집한 것으로 해석된다.",제로인 위험등급; 펀드 투자위험등급; zeroin risk grade,정수 1~6(1=매우 높은 위험),high,,제공 데이터 명칭 일치 + 금감원 2016 개편 명칭(비즈워치 http://news.bizwatch.co.kr/article/market/2016/07/04/0002)
컬럼사전:위험등급,zrin_fd_ivst_risk_grd_nm(공모펀드),제로인 펀드 투자위험등급명,"공식 6단계 등급명을 띄어쓰기 포함 표기('매우 높은 위험'~'매우 낮은 위험')로 담은 컬럼. 관측 분포는 2등급 29,251건(주식형 다수), 3등급 16,892, 4등급 13,103, 5등급 9,788, 1등급 5,771, 6등급 2,397건이다.",위험등급명; 등급명칭,문자열; ETF 표기('매우높은위험(1등급)')와 공백 차이 있어 매칭 시 공백 제거 필요,high,,제공 데이터; 금융위 가이드라인 등급 명칭(위 URL)
별칭사전:위험등급,제로인(zrin),KG제로인(펀드평가사),"컬럼 접두어 zrin_은 펀드평가사 제로인(KG제로인, 펀드닥터 운영사) 제공 데이터를 뜻한다. 제로인은 KG그룹 계열이며, 과제 배경설명의 '에프앤가이드 계열'이라는 표현은 부정확하다(에프앤가이드는 화천그룹이 최대주주인 별도 금융정보업체로, KG 측과 지분 경쟁이 있었을 뿐이다).",KG제로인; ZEROIN; 펀드닥터; 펀드평가사,접두어 zrin_ = 제로인 제공 데이터,medium,,KG제로인 https://www.zeroin.co.kr/service/rating.do; 아시아경제 2022.12.15 https://www.asiae.co.kr/article/2022121515372578945
등급체계:위험등급,제로인 등급 vs 투자위험등급,제로인 성과등급(태극등급)과 투자위험등급의 구분,"제로인의 자체 '제로인등급'은 위험조정성과 기반의 펀드 평가등급(태극마크 1~5등급, 유형 내 ZI Score 상대평가, 월별 산출)으로 투자위험등급과 전혀 다른 개념이다. 본 데이터의 zrin_fd_ivst_risk_gcd(1~6)는 성과등급이 아닌 공식 투자위험등급이므로 질의 해석 시 혼동하면 안 된다.",태극등급; 펀드 평가등급; ZI Score,"제로인등급: 1~5(높을수록 우수, 성과), 투자위험등급: 1~6(낮을수록 위험, 위험)",high,,펀드닥터 제로인 등급 안내 https://www.funddoctor.co.kr/afn/topfund/howto.jsp; KG제로인 평가서비스 https://www.zeroin.co.kr/service/rating.do
등급체계:연금자산구분,퇴직연금 위험자산 투자한도 70%,DC·IRP 위험자산(원리금 비보장자산) 총투자한도,"근로자퇴직급여보장법 시행령 제25·26조와 퇴직연금감독규정(금융위 고시)에 따라 확정기여형(DC)·개인형퇴직연금(IRP)은 적립금의 최대 70%까지만 위험자산에 투자할 수 있고 최소 30%는 안전자산으로 운용해야 한다. 한도는 평가액 기준으로 일별 점검되며, 2025년 이후 금융당국이 한도 완화(철폐)를 논의 중이나 데이터 스냅샷(2026.7) 시점 규정 확인이 필요하다.",70% 룰; 위험자산 한도; 안전자산 30% 의무; 원리금비보장자산 투자한도,위험자산 ≤ 적립금의 70%,high,,보험연구원 연구보고서 2024-11 http://www.kiri.or.kr/pdf/%EC%97%B0%EA%B5%AC%EC%9E%90%EB%A3%8C/%EC%97%B0%EA%B5%AC%EB%B3%B4%EA%B3%A0%EC%84%9C/nre2024-11_3.pdf; KB증권 퇴직연금 유의사항 https://www.kbsec.com/go.able?linkcd=s080400070100; 한국경제 https://www.hankyung.com/article/2022022724271
