분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
코드표|통화(ISO 4217),KRW,대한민국 원,"ISO 4217 통화코드로 대한민국의 법정통화인 원(Won)을 의미. 국내채권 CURR_CD의 99.9%(42,372건), 공모펀드 curr_cd, 국내ETF pd_curr_cd(CURR_CD_KRW 형태)의 기본 통화.",원;원화;한국원;한국 원화;대한민국 원;₩;KRW,"ISO 4217 alpha-3 코드, 숫자코드 410, 소수 자릿수 0(보조단위 없음)",high,,https://www.iso.org/iso-4217-currency-codes.html
코드표|통화(ISO 4217),USD,미국 달러,"ISO 4217 통화코드로 미국 달러(US Dollar). 해외ETF의 거래통화(pd_trd_ccy)·기준통화(pd_curr_cd 5,637건), 국내채권 외화표시 19건, 공모펀드 일부 클래스에 등장.",달러;미국달러;달러화;미 달러;US달러;불;$;USD,"ISO 4217 alpha-3 코드, 숫자코드 840, 소수 자릿수 2(센트)",high,,https://www.iso.org/iso-4217-currency-codes.html
코드표|통화(ISO 4217),EUR,유로,ISO 4217 통화코드로 유로존 공동통화 유로(Euro). 국내채권 CURR_CD에 1건 존재(유로화 표시 채권).,유로;유로화;EUR;€,"ISO 4217 alpha-3 코드, 숫자코드 978, 소수 자릿수 2",high,,https://www.iso.org/iso-4217-currency-codes.html
코드표|통화(ISO 4217),JPY,일본 엔,ISO 4217 통화코드로 일본 엔(Yen). 국내채권 CURR_CD에 1건 존재(엔화 표시 채권).,엔;엔화;일본엔;일본 엔화;¥;JPY,"ISO 4217 alpha-3 코드, 숫자코드 392, 소수 자릿수 0",high,,https://www.iso.org/iso-4217-currency-codes.html
코드표|통화(ISO 4217),INR,인도 루피,"ISO 4217 통화코드로 인도 루피(Indian Rupee). 해외ETF pd_curr_cd에 단 1건 존재하며, 미국 외 시장(인도) 관련 상품이거나 통화 필드 이상치일 가능성이 있어 개별 확인 필요.",루피;인도루피;인도 루피화;INR,"ISO 4217 alpha-3 코드, 숫자코드 356, 소수 자릿수 2",high,,https://www.iso.org/iso-4217-currency-codes.html
코드표|센티널,000 (CURR_CD),통화코드 미입력 센티널,ISO 4217에 '000' 통화코드는 존재하지 않으므로 실제 통화가 아닌 미입력/해당없음 표시용 센티널. 국내채권 CURR_CD에 1건 관측되며 실제 통화(발행조건)는 원본 확인 필요.,해당없음;미입력;코드없음,000 → NULL 정규화 권고. 통화 집계·필터 시 제외 처리,high,,ISO 4217 공식 목록에 000 부재(https://www.iso.org/iso-4217-currency-codes.html) + 제공 데이터 스냅샷 관측(2026-07-11)
코드표|센티널,CURR_CD_KRW / CURR_CD_000,국내ETF 통화코드 접두어 표기,"국내ETF pd_curr_cd는 값 앞에 원천 코드체계 접두어 'CURR_CD_'가 붙은 형태로 저장됨. 접두어를 제거한 뒤 해석하며, CURR_CD_KRW→KRW(원화), CURR_CD_000→미입력 센티널.",통화코드 접두어;CURR_CD 프리픽스,"정규화 규칙: 'CURR_CD_' 접두어 제거 → 잔여값이 000이면 NULL, 아니면 ISO 4217 코드로 매핑",high,,"제공 데이터 스냅샷 관측(2026-07-11, PREF01N001) — 기계적 패턴으로 확정 가능"
코드표|거래소코드(미국),AMX,아멕스(AMEX) 계열 레거시 거래소 코드,"문자 그대로는 구 American Stock Exchange(AMEX, 현 NYSE American)를 뜻하나, 해외ETF 5,646건 중 4,241건(75%)이 AMX인 것은 현재 NYSE American 상장 ETF가 극소수라는 사실과 모순되므로, 구 AMEX가 미국 ETF 상장 중심지였다가 2008년 NYSE Euronext 인수 후 ETF가 NYSE Arca로 이관된 역사를 반영해 NYSE Arca 상장 ETP까지 'AMEX'로 묶어 표기하는 국내 증권사·데이터 벤더의 레거시 코드로 해석해야 함. 즉 QA 응답 시 'AMX = 사실상 NYSE Arca 등 미국 ETP 전용 거래소 상장'으로 안내하는 것이 안전.",아멕스;AMEX;American Stock Exchange;NYSE American;NYSE Arca(실질 포괄);뉴욕 아메리칸,표시용 권고: 'AMEX(현 NYSE American/NYSE Arca 계열)'로 병기,medium,,"https://en.wikipedia.org/wiki/NYSE_American (2008년 NYSE Euronext 인수·ETF Arca 이관), https://www.nyse.com/markets/nyse-arca (ETF 2,200개 이상 상장·세계 최대 ETF 거래), https://securities.miraeasset.com/imf/600/imf102.do (미래에셋증권 미국시장 구분: NYSE/NYSE ARCA/NYSE AMEX/NASDAQ)"
코드표|거래소코드(미국),NAS,나스닥(NASDAQ),"미국 나스닥 증권거래소(NASDAQ Stock Market) 상장을 의미하는 3문자 거래소 코드. 해외ETF 1,296건(QQQ 등 나스닥 상장 ETF).",나스닥;NASDAQ;나스닥거래소;나스닥 시장,MIC 대응: XNAS,high,,"https://www.onixs.biz/fix-dictionary/5.0.sp2/app_6_c.html (XNAS=NASDAQ), https://community.developers.lseg.com/discussion/47440 (LSEG/Refinitiv 3문자 거래소 약어 관행)"
코드표|거래소코드(미국),NYS,뉴욕증권거래소(NYSE 본장),"New York Stock Exchange 본장 상장을 의미하는 3문자 거래소 코드. 해외ETF 78건으로 소수인데, 이는 NYSE 본장에는 ETF가 아닌 일부 ETP·폐쇄형펀드만 상장되고 대부분 ETF는 NYSE Arca에 상장되기 때문.",뉴욕증권거래소;뉴욕거래소;NYSE;빅보드,MIC 대응: XNYS,high,,"https://www.onixs.biz/fix-dictionary/5.0.sp2/app_6_c.html (XNYS=New York Stock Exchange), https://community.developers.lseg.com/discussion/47440 (NYS=NYSE 약어)"
