컬럼,dtype,결측수,공백문자열수,실질결측률%,고유값수,숫자형문자열,min,max,상위값3
bmrk_eng_nm,object,0,0,0.0,388,,31910466590.0,31910466590.0,KOSPI 200 (10655); MSCI ACWI CR 50% + KAP B (9196); KOSPI200 25% + KAP Bond  (4361)
bmrk_nm,object,0,0,0.0,391,,,,KOSPI200 (10655); MSCI ACWI CR 50% + 종합채권0 (9196); KOSPI200 25% + 종합채권01Y 7 (4361)
curr_cd,object,1,0,0.0,2,,,,KRW (95046); USD (572)
exchdg_yn,object,29761,0,31.12,3,,80008.0,80008.0,Y (44987); N (20870); 00080008 (1)
fd_estb_ctry_cd,float64,66,0,0.07,2,,0.0,410.0,0.0 (92838); 410.0 (2715)
fd_ivst_rgn_desc,object,66,0,0.07,7,,,,글로벌 (42875); 국내 (33223); 아시아 (10265)
fd_mm18_ern_r,float64,32411,0,33.9,4909,,-3593.02,1399.77,0.0 (1686); 4.14 (74); 4.05 (69)
fd_mm1_ern_r,float64,26429,0,27.64,1550,,-63.11,15.65,0.0 (2798); 0.23 (531); 0.21 (511)
fd_mm3_ern_r,float64,27076,0,28.32,3505,,-88.46,144.21,0.0 (2427); 0.67 (249); 0.58 (183)
fd_mm6_ern_r,float64,28450,0,29.75,4177,,-84.16,369.68,0.0 (2034); 1.2 (139); 1.33 (120)
fd_nast_suma,float64,12538,0,13.11,2682,,0.0,28359162282520.0,0.0 (2478); 243014502685.0 (178); 64485766315.0 (169)
fd_set_pcd,float64,1,0,0.0,3,,0.0,20.0,10.0 (91354); 20.0 (3806); 0.0 (458)
fd_wk1_ern_r,float64,26167,0,27.37,1207,,-60.92,26.59,0.0 (2664); 0.04 (1378); 0.05 (662)
fd_yr1_ern_r,float64,31193,0,32.62,4826,,-92.57,975.1,0.0 (1840); 2.61 (77); 2.64 (68)
fd_yr2_ern_r,float64,37490,0,39.21,4777,,-3675.44,973.95,0.0 (1486); 5.97 (70); 6.53 (65)
fd_yr3_ern_r,float64,39806,0,41.63,4925,,-4381.56,1142.57,0.0 (907); 16.27 (53); 38.44 (46)
fd_yr5_ern_r,float64,44782,0,46.83,4699,,-4254.75,611.55,0.0 (580); 31.88 (50); -5.61 (47)
frc_bpr_itm_yn,float64,1,0,0.0,2,,0.0,1.0,0.0 (95046); 1.0 (572)
fss_itm_no,object,1,0,0.0,8086,,0.0,111111111111.0,000000000000 (23409); 0010189C2284 (34); 0010171C1900 (32)
hdge_fd_yn,float64,66,0,0.07,1,,0.0,0.0,0.0 (95553)
int_dvd_desc,object,66,0,0.07,2,,,,배당 (95543); 이자 (10)
itm_abrv_nm,object,0,0,0.0,11119,,,,다올중국플러스찬스증권(채권혼합)A (67); 흥국공모주하이일드증권투자신탁[채권혼합] (24); 대신디딤올라운드자산배분증권[혼-재간]CPe (22)
itm_eabrv_nm,object,95447,0,99.82,14,,,,KB China A-share Sec (59); MIRAE G2INNOVATOR_Ce (13); MIRAE G2 INNOVATOR F (12)
itm_eng_nm,object,0,0,0.0,10971,,0.0,0.0,KYOBO AXA ROBOTECH SECUR (107); 소규모해지 (88); HANWHA ENERGY INFRA MLP  (83)
itm_nm,object,0,0,0.0,11139,,,,브이아이중국4차산업증권자투자신탁1호[주식]C (16); 미래에셋차이나그로스증권자투자신탁1호(주식)종 (16); 미래에셋G2이노베이터증권자투자신탁(주식)C- (15)
itm_no,object,0,0,0.0,11139,,,,KR5116450039 (16); KR5153450333 (16); KR5153450568 (15)
kofia_fd_ccd,object,94,0,0.1,4782,,0.0,2.4111412301017113e+19,00000000000000000000 (22131); 12113412001011111113 (324); 16121A120600211ZZZZB (252)
ksd_itm_no,object,266,0,0.28,11092,,12.0,12355.0,KRZ50168984H (16); KRZ50193606G (16); KRZ50168984G (15)
mtco_itm_no,object,1,0,0.0,4660,,0.0,9999999999.0,00 (218); 0537220 (190); 0044611 (162)
ofsfd_yn,float64,1,0,0.0,1,,0.0,0.0,0.0 (95618)
or_attr_desc,object,66,0,0.07,11,,6.0,6.0,주식형 (36338); 재간접 (30243); 채권혼합 (8964)
or_co_xtn_itt_cd,float64,66,0,0.07,67,,40001.0,80368.0,80008.0 (24472); 40010.0 (8511); 40035.0 (6142)
ovrs_fd_desc,object,66,0,0.07,3,,,,해외 (51628); 국내 (33107); 국내외혼합 (10818)
pers_corp_desc,object,66,0,0.07,3,,,,해당없음 (73054); 개인 (17643); 법인 (4856)
pfiv_sale_cntl_tcd,float64,66,0,0.07,3,,0.0,2.0,0.0 (95014); 1.0 (430); 2.0 (109)
prfd_attr_cd,object,0,0,0.0,228,,,,C103 (10943); D102 (10916); C101 (10559)
